subset,metric,metric_group,direction,positive_improvement_definition,dummy_classifier_available
measured_regression,mae,overall,lower,comparator - focus,False
measured_regression,mse,overall,lower,comparator - focus,False
measured_regression,pearson_r,overall,higher,focus - comparator,False
measured_regression,r2,overall,higher,focus - comparator,False
measured_regression,np_mae,measured_nonpenetrant,lower,comparator - focus,False
measured_threshold,balanced_accuracy,threshold_derived,higher,focus - comparator,True
measured_threshold,np_recall,threshold_derived,higher,focus - comparator,True
measured_threshold,np_precision,threshold_derived,higher,focus - comparator,True
measured_threshold,np_f1,threshold_derived,higher,focus - comparator,True
measured_threshold,roc_auc,threshold_derived,higher,focus - comparator,True
measured_threshold,pr_auc_nonpenetrant,threshold_derived,higher,focus - comparator,True
measured_threshold,mcc,threshold_derived,higher,focus - comparator,True
measured_threshold,cohens_kappa,threshold_derived,higher,focus - comparator,True
measured_threshold,np_wrong_side_count,threshold_derived,lower,comparator - focus,True
all_threshold,balanced_accuracy,threshold_derived,higher,focus - comparator,True
all_threshold,np_recall,threshold_derived,higher,focus - comparator,True
all_threshold,np_precision,threshold_derived,higher,focus - comparator,True
all_threshold,np_f1,threshold_derived,higher,focus - comparator,True
all_threshold,roc_auc,threshold_derived,higher,focus - comparator,True
all_threshold,pr_auc_nonpenetrant,threshold_derived,higher,focus - comparator,True
all_threshold,mcc,threshold_derived,higher,focus - comparator,True
all_threshold,cohens_kappa,threshold_derived,higher,focus - comparator,True
all_threshold,np_wrong_side_count,threshold_derived,lower,comparator - focus,True
classification_only_threshold,balanced_accuracy,threshold_derived,higher,focus - comparator,True
classification_only_threshold,np_recall,threshold_derived,higher,focus - comparator,True
classification_only_threshold,np_precision,threshold_derived,higher,focus - comparator,True
classification_only_threshold,np_f1,threshold_derived,higher,focus - comparator,True
classification_only_threshold,roc_auc,threshold_derived,higher,focus - comparator,True
classification_only_threshold,pr_auc_nonpenetrant,threshold_derived,higher,focus - comparator,True
classification_only_threshold,mcc,threshold_derived,higher,focus - comparator,True
classification_only_threshold,cohens_kappa,threshold_derived,higher,focus - comparator,True
classification_only_threshold,np_wrong_side_count,threshold_derived,lower,comparator - focus,True
