model_a,model_a_display_name,model_b,model_b_display_name,subset,subset_label,metric,n_paired,model_a_value,model_b_value,difference_a_minus_b,ci_lower,ci_upper,bootstrap_ci_excludes_zero,n_bootstrap_valid,better_direction,effect_in_favor_of_a,observed_better_model,permutation_p_two_sided,permutation_p_two_sided_holm_pair_dataset,significant_permutation_holm_0.05,holm_family_size,n_extreme_permutations,n_valid_permutations,n_permutations_requested
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),all_threshold,All labelled compounds: threshold-derived,balanced_accuracy,3156,0.6127297163404672,0.5901967151718858,0.02253300116858148,0.009882862865924836,0.035284818708896624,True,10000,higher,0.02253300116858148,custom_mtl_original,0.0006999300069993001,0.004199580041995801,True,9,6,10000,10000
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),all_threshold,All labelled compounds: threshold-derived,cohens_kappa,3156,0.27818720281425996,0.22767624489551708,0.05051095791874288,0.020594296976923943,0.08081060126423835,True,10000,higher,0.05051095791874288,custom_mtl_original,0.0013998600139986002,0.006999300069993001,True,9,13,10000,10000
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),all_threshold,All labelled compounds: threshold-derived,mcc,3156,0.34712569906073676,0.30682429441057296,0.0403014046501638,0.007680472731590284,0.0735425278544426,True,10000,higher,0.0403014046501638,custom_mtl_original,0.020997900209979003,0.041995800419958006,True,9,209,10000,10000
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),all_threshold,All labelled compounds: threshold-derived,np_f1,3156,0.38618524332810045,0.32508250825082513,0.061102735077275316,0.029692752659320833,0.09281155690550803,True,10000,higher,0.061102735077275316,custom_mtl_original,0.00019998000199980003,0.0017998200179982003,True,9,1,10000,10000
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),all_threshold,All labelled compounds: threshold-derived,np_precision,3156,0.7859424920127795,0.7848605577689243,0.001081934243855276,-0.0451305404305458,0.0481269285082817,False,10000,higher,0.001081934243855276,custom_mtl_original,0.9576042395760423,0.9576042395760423,False,9,9576,10000,10000
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),all_threshold,All labelled compounds: threshold-derived,np_recall,3156,0.2559833506763788,0.20499479708636836,0.05098855359001042,0.02601456642150879,0.07596254348754883,True,10000,higher,0.05098855359001042,custom_mtl_original,0.00019998000199980003,0.0017998200179982003,True,9,1,10000,10000
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),all_threshold,All labelled compounds: threshold-derived,np_wrong_side_count,3156,715.0,764.0,-49.0,-73.0,-25.0,True,10000,lower,49.0,custom_mtl_original,0.00019998000199980003,0.0017998200179982003,True,9,1,10000,10000
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),all_threshold,All labelled compounds: threshold-derived,pr_auc_nonpenetrant,3156,0.6305993087946029,0.6017080603576755,0.028891248436927364,0.011485457420349121,0.04631212502717971,True,10000,higher,0.028891248436927364,custom_mtl_original,0.0014998500149985001,0.006999300069993001,True,9,14,10000,10000
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),all_threshold,All labelled compounds: threshold-derived,roc_auc,3156,0.7685777201519867,0.7555839470559094,0.012993773096077299,0.005203819274902344,0.021120786666870117,True,10000,higher,0.012993773096077299,custom_mtl_original,0.0015998400159984002,0.006999300069993001,True,9,15,10000,10000
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,all_threshold,All labelled compounds: threshold-derived,balanced_accuracy,3156,0.5,0.6127297163404672,-0.11272971634046725,-0.1273978441953659,-0.09878021478652954,True,10000,higher,-0.11272971634046725,custom_mtl_original,9.999000099990002e-05,0.0008999100089991002,True,9,0,10000,10000
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,all_threshold,All labelled compounds: threshold-derived,cohens_kappa,3156,0.0,0.27818720281425996,-0.27818720281425996,-0.3118784368038177,-0.24569966532289986,True,10000,higher,-0.27818720281425996,custom_mtl_original,9.999000099990002e-05,0.0008999100089991002,True,9,0,10000,10000
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,all_threshold,All labelled compounds: threshold-derived,mcc,3156,,0.34712569906073676,,,,False,0,higher,,tie,9.999000099990002e-05,0.0008999100089991002,True,9,0,10000,10000
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,all_threshold,All labelled compounds: threshold-derived,np_f1,3156,,0.38618524332810045,,,,False,0,higher,,tie,9.999000099990002e-05,0.0008999100089991002,True,9,0,10000,10000
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,all_threshold,All labelled compounds: threshold-derived,np_precision,3156,,0.7859424920127795,,,,False,0,higher,,tie,9.999000099990002e-05,0.0008999100089991002,True,9,0,10000,10000
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,all_threshold,All labelled compounds: threshold-derived,np_recall,3156,0.0,0.2559833506763788,-0.2559833506763788,-0.28407907485961914,-0.22892819344997406,True,10000,higher,-0.2559833506763788,custom_mtl_original,9.999000099990002e-05,0.0008999100089991002,True,9,0,10000,10000
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,all_threshold,All labelled compounds: threshold-derived,np_wrong_side_count,3156,961.0,715.0,246.0,220.0,273.0,True,10000,lower,-246.0,custom_mtl_original,9.999000099990002e-05,0.0008999100089991002,True,9,0,10000,10000
