model_a,model_a_display_name,model_b,model_b_display_name,subset,subset_label,metric,n_paired,model_a_value,model_b_value,difference_a_minus_b,ci_lower,ci_upper,bootstrap_ci_excludes_zero,n_bootstrap_valid,better_direction,effect_in_favor_of_a,observed_better_model,permutation_p_two_sided,permutation_p_two_sided_holm_pair_dataset,significant_permutation_holm_0.05,holm_family_size,n_extreme_permutations,n_valid_permutations,n_permutations_requested
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),classification_only_threshold,Classification-only compounds: threshold-derived,balanced_accuracy,2391,0.6051123121782273,0.5837404910631455,0.021371821115081735,0.008039182424545292,0.03520774990320206,True,10000,higher,0.021371821115081735,custom_mtl_original,0.0024997500249975004,0.014998500149985002,True,9,24,10000,10000
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),classification_only_threshold,Classification-only compounds: threshold-derived,cohens_kappa,2391,0.2461576504771199,0.1995643942883255,0.046593256188794396,0.016191463172435767,0.07820139043033121,True,10000,higher,0.046593256188794396,custom_mtl_original,0.0035996400359964,0.017998200179982,True,9,35,10000,10000
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),classification_only_threshold,Classification-only compounds: threshold-derived,mcc,2391,0.31884687251506727,0.2843443029325382,0.034502569582529063,-0.0012657769024372047,0.07077652737498283,False,10000,higher,0.034502569582529063,custom_mtl_original,0.0670932906709329,0.1341865813418658,False,9,670,10000,10000
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),classification_only_threshold,Classification-only compounds: threshold-derived,np_f1,2391,0.3769633507853403,0.31336405529953915,0.06359929548580118,0.03112348839640619,0.09731962978839874,True,10000,higher,0.06359929548580118,custom_mtl_original,0.0005999400059994001,0.004199580041995801,True,9,5,10000,10000
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),classification_only_threshold,Classification-only compounds: threshold-derived,np_precision,2391,0.7941176470588235,0.8056872037914692,-0.011569556732645703,-0.061125336587429024,0.036912980675697316,False,10000,higher,-0.011569556732645703,logbb_pred_shaker_retrained,0.6614338566143385,0.6614338566143385,False,9,6614,10000,10000
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),classification_only_threshold,Classification-only compounds: threshold-derived,np_recall,2391,0.2471395881006865,0.1945080091533181,0.05263157894736842,0.027459949254989624,0.07894736528396606,True,10000,higher,0.05263157894736842,custom_mtl_original,0.00039996000399960006,0.0035996400359964006,True,9,3,10000,10000
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),classification_only_threshold,Classification-only compounds: threshold-derived,np_wrong_side_count,2391,658.0,704.0,-46.0,-69.0,-24.0,True,10000,lower,46.0,custom_mtl_original,0.00039996000399960006,0.0035996400359964006,True,9,3,10000,10000
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),classification_only_threshold,Classification-only compounds: threshold-derived,pr_auc_nonpenetrant,2391,0.6511224005252501,0.6296416285420887,0.02148077198316134,0.0036068037152290353,0.03860716819763184,True,10000,higher,0.02148077198316134,custom_mtl_original,0.021497850214978503,0.08599140085991401,False,9,214,10000,10000
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),classification_only_threshold,Classification-only compounds: threshold-derived,roc_auc,2391,0.7429430602673891,0.7320602960498033,0.010882764217585827,0.0018221005797386181,0.019699825346469878,True,10000,higher,0.010882764217585827,custom_mtl_original,0.023297670232976703,0.08599140085991401,False,9,232,10000,10000
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,classification_only_threshold,Classification-only compounds: threshold-derived,balanced_accuracy,2391,0.5,0.6051123121782273,-0.10511231217822725,-0.12066447734832764,-0.09046179056167603,True,10000,higher,-0.10511231217822725,custom_mtl_original,9.999000099990002e-05,0.0008999100089991002,True,9,0,10000,10000
