model_a,model_a_display_name,model_b,model_b_display_name,subset,subset_label,metric,n_paired,model_a_value,model_b_value,difference_a_minus_b,ci_lower,ci_upper,bootstrap_ci_excludes_zero,n_bootstrap_valid,better_direction,effect_in_favor_of_a,observed_better_model,permutation_p_two_sided,permutation_p_two_sided_holm_pair_dataset,significant_permutation_holm_0.05,holm_family_size,n_extreme_permutations,n_valid_permutations,n_permutations_requested
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_regression,Measured compounds: regression,mae,765,0.36315938610431187,0.3650154563696006,-0.0018560702652887229,-0.01450049504637718,0.010726062953472127,False,10000,lower,0.0018560702652887229,custom_mtl_original,0.7768223177682232,0.7768223177682232,False,5,7768,10000,10000
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_regression,Measured compounds: regression,mse,765,0.2353744541680997,0.24904890224393933,-0.013674448075839618,-0.02966470904648303,0.0023226667195558543,False,10000,lower,0.013674448075839618,custom_mtl_original,0.10978902109789021,0.43195680431956807,False,5,1097,10000,10000
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_regression,Measured compounds: regression,np_mae,765,0.6393781422210141,0.6820401986364691,-0.04266205641545506,-0.08916918188333511,0.003037697076797481,False,10000,lower,0.04266205641545506,custom_mtl_original,0.08639136086391361,0.43195680431956807,False,5,863,10000,10000
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_regression,Measured compounds: regression,pearson_r,765,0.7543349041381279,0.7373618297894308,0.016973074348697104,-0.002082930505275726,0.036094877123832705,False,10000,higher,0.016973074348697104,custom_mtl_original,0.1024897510248975,0.43195680431956807,False,5,1024,10000,10000
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_regression,Measured compounds: regression,r2,765,0.5677377969135462,0.5426248462658422,0.025112950647704024,-0.004307024180889128,0.05428421944379806,False,10000,higher,0.025112950647704024,custom_mtl_original,0.10978902109789021,0.43195680431956807,False,5,1097,10000,10000
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,measured_regression,Measured compounds: regression,mae,765,0.5790906916143362,0.36315938610431187,0.21593130551002437,0.18856212720274926,0.2440853804349899,True,10000,lower,-0.21593130551002437,custom_mtl_original,9.999000099990002e-05,0.0004999500049995,True,5,0,10000,10000
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,measured_regression,Measured compounds: regression,mse,765,0.5446257114784911,0.2353744541680997,0.30925125731039144,0.27024908997118474,0.35064880289137357,True,10000,lower,-0.30925125731039144,custom_mtl_original,9.999000099990002e-05,0.0004999500049995,True,5,0,10000,10000
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,measured_regression,Measured compounds: regression,np_mae,765,1.3807999023364135,0.6393781422210141,0.7414217601153994,0.6663049042224884,0.8171487927436828,True,10000,lower,-0.7414217601153994,custom_mtl_original,9.999000099990002e-05,0.0004999500049995,True,5,0,10000,10000
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,measured_regression,Measured compounds: regression,pearson_r,765,-0.018772044829888916,0.7543349041381279,-0.7731069489680168,-0.8356888644397259,-0.7111785694956779,True,10000,higher,-0.7731069489680168,custom_mtl_original,9.999000099990002e-05,0.0004999500049995,True,5,0,10000,10000
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,measured_regression,Measured compounds: regression,r2,765,-0.00019821918774121094,0.5677377969135462,-0.5679360161012874,-0.618693747432917,-0.5149719824668864,True,10000,higher,-0.5679360161012874,custom_mtl_original,9.999000099990002e-05,0.0004999500049995,True,5,0,10000,10000
dummy_mean_regression,Dummy regression mean,lightgbm_mse_regression,LightGBM MSE,measured_regression,Measured compounds: regression,mae,765,0.5790906916143362,0.35557158003201106,0.22351911158232518,0.19579822793602944,0.2516406036913395,True,10000,lower,-0.22351911158232518,lightgbm_mse_regression,9.999000099990002e-05,0.0004999500049995,True,5,0,10000,10000
dummy_mean_regression,Dummy regression mean,lightgbm_mse_regression,LightGBM MSE,measured_regression,Measured compounds: regression,mse,765,0.5446257114784911,0.2334666814964421,0.31115902998204903,0.2713339880108833,0.353242490068078,True,10000,lower,-0.31115902998204903,lightgbm_mse_regression,9.999000099990002e-05,0.0004999500049995,True,5,0,10000,10000
dummy_mean_regression,Dummy regression mean,lightgbm_mse_regression,LightGBM MSE,measured_regression,Measured compounds: regression,np_mae,765,1.3807999023364135,0.6617393571100808,0.7190605452263327,0.6410891026258468,0.7990229830145835,True,10000,lower,-0.7190605452263327,lightgbm_mse_regression,9.999000099990002e-05,0.0004999500049995,True,5,0,10000,10000
dummy_mean_regression,Dummy regression mean,lightgbm_mse_regression,LightGBM MSE,measured_regression,Measured compounds: regression,pearson_r,765,-0.018772044829888916,0.755901042254575,-0.7746730870844639,-0.8394809330813586,-0.7121594767668284,True,10000,higher,-0.7746730870844639,lightgbm_mse_regression,9.999000099990002e-05,0.0004999500049995,True,5,0,10000,10000
dummy_mean_regression,Dummy regression mean,lightgbm_mse_regression,LightGBM MSE,measured_regression,Measured compounds: regression,r2,765,-0.00019821918774121094,0.5712413972551955,-0.5714396164429367,-0.6236519148704247,-0.5158755669690436,True,10000,higher,-0.5714396164429367,lightgbm_mse_regression,9.999000099990002e-05,0.0004999500049995,True,5,0,10000,10000
dummy_mean_regression,Dummy regression mean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_regression,Measured compounds: regression,mae,765,0.5790906916143362,0.3650154563696006,0.21407523524473565,0.18535929024219513,0.24332725554704665,True,10000,lower,-0.21407523524473565,logbb_pred_shaker_retrained,9.999000099990002e-05,0.0004999500049995,True,5,0,10000,10000
dummy_mean_regression,Dummy regression mean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_regression,Measured compounds: regression,mse,765,0.5446257114784911,0.24904890224393933,0.2955768092345518,0.25426928699016577,0.33863364793360234,True,10000,lower,-0.2955768092345518,logbb_pred_shaker_retrained,9.999000099990002e-05,0.0004999500049995,True,5,0,10000,10000
dummy_mean_regression,Dummy regression mean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_regression,Measured compounds: regression,np_mae,765,1.3807999023364135,0.6820401986364691,0.6987597036999443,0.6171458140015602,0.7833438381552696,True,10000,lower,-0.6987597036999443,logbb_pred_shaker_retrained,9.999000099990002e-05,0.0004999500049995,True,5,0,10000,10000
dummy_mean_regression,Dummy regression mean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_regression,Measured compounds: regression,pearson_r,765,-0.018772044829888916,0.7373618297894308,-0.7561338746193197,-0.8205970093607903,-0.6917950746137649,True,10000,higher,-0.7561338746193197,logbb_pred_shaker_retrained,9.999000099990002e-05,0.0004999500049995,True,5,0,10000,10000
dummy_mean_regression,Dummy regression mean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_regression,Measured compounds: regression,r2,765,-0.00019821918774121094,0.5426248462658422,-0.5428230654535834,-0.5996767832257319,-0.4833850821027227,True,10000,higher,-0.5428230654535834,logbb_pred_shaker_retrained,9.999000099990002e-05,0.0004999500049995,True,5,0,10000,10000
lightgbm_mse_regression,LightGBM MSE,custom_mtl_original,Custom MTL LightGBM clean,measured_regression,Measured compounds: regression,mae,765,0.35557158003201106,0.36315938610431187,-0.007587806072300807,-0.01695070043206215,0.001785323023796077,False,10000,lower,0.007587806072300807,lightgbm_mse_regression,0.1141885811418858,0.5709429057094291,False,5,1141,10000,10000
lightgbm_mse_regression,LightGBM MSE,custom_mtl_original,Custom MTL LightGBM clean,measured_regression,Measured compounds: regression,mse,765,0.2334666814964421,0.2353744541680997,-0.0019077726716576204,-0.012766276299953461,0.008764269202947615,False,10000,lower,0.0019077726716576204,lightgbm_mse_regression,0.736026397360264,1.0,False,5,7360,10000,10000
lightgbm_mse_regression,LightGBM MSE,custom_mtl_original,Custom MTL LightGBM clean,measured_regression,Measured compounds: regression,np_mae,765,0.6617393571100808,0.6393781422210141,0.022361214889066727,-0.009224279224872577,0.05416440814733499,False,10000,lower,-0.022361214889066727,custom_mtl_original,0.17078292170782922,0.6831316868313169,False,5,1707,10000,10000
lightgbm_mse_regression,LightGBM MSE,custom_mtl_original,Custom MTL LightGBM clean,measured_regression,Measured compounds: regression,pearson_r,765,0.755901042254575,0.7543349041381279,0.0015661381164471244,-0.011107948422431945,0.014556010067462911,False,10000,higher,0.0015661381164471244,lightgbm_mse_regression,0.8221177882211779,1.0,False,5,8221,10000,10000
lightgbm_mse_regression,LightGBM MSE,custom_mtl_original,Custom MTL LightGBM clean,measured_regression,Measured compounds: regression,r2,765,0.5712413972551955,0.5677377969135462,0.0035036003416493156,-0.015997074544429772,0.023512747883796682,False,10000,higher,0.0035036003416493156,lightgbm_mse_regression,0.736026397360264,1.0,False,5,7360,10000,10000
lightgbm_mse_regression,LightGBM MSE,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_regression,Measured compounds: regression,mae,765,0.35557158003201106,0.3650154563696006,-0.00944387633758953,-0.02035335898399353,0.001841521263122558,False,10000,lower,0.00944387633758953,lightgbm_mse_regression,0.09769023097690231,0.19538046195380462,False,5,976,10000,10000
lightgbm_mse_regression,LightGBM MSE,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_regression,Measured compounds: regression,mse,765,0.2334666814964421,0.24904890224393933,-0.015582220747497239,-0.028873550146818156,-0.002517639100551614,True,10000,lower,0.015582220747497239,lightgbm_mse_regression,0.0201979802019798,0.100989901009899,False,5,201,10000,10000
lightgbm_mse_regression,LightGBM MSE,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_regression,Measured compounds: regression,np_mae,765,0.6617393571100808,0.6820401986364691,-0.020300841526388336,-0.05615129917860031,0.015736562013626096,False,10000,lower,0.020300841526388336,lightgbm_mse_regression,0.2893710628937106,0.2893710628937106,False,5,2893,10000,10000
lightgbm_mse_regression,LightGBM MSE,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_regression,Measured compounds: regression,pearson_r,765,0.755901042254575,0.7373618297894308,0.018539212465144228,0.0028607398271560673,0.0345339223742485,True,10000,higher,0.018539212465144228,lightgbm_mse_regression,0.022997700229977002,0.100989901009899,False,5,229,10000,10000
lightgbm_mse_regression,LightGBM MSE,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_regression,Measured compounds: regression,r2,765,0.5712413972551955,0.5426248462658422,0.02861655098935334,0.004649050533771521,0.05310460478067398,True,10000,higher,0.02861655098935334,lightgbm_mse_regression,0.0201979802019798,0.100989901009899,False,5,201,10000,10000
