model_a,model_a_display_name,model_b,model_b_display_name,subset,subset_label,metric,n_paired,model_a_value,model_b_value,difference_a_minus_b,ci_lower,ci_upper,,Text,,bootstrap_ci_excludes_zero,n_bootstrap_valid,better_direction,effect_in_favor_of_a,observed_better_model,permutation_p_two_sided,permutation_p_two_sided_holm_pair_dataset,significant_permutation_holm_0.05,holm_family_size,n_extreme_permutations,n_valid_permutations,n_permutations_requested,,,,,,,,,,,,,,,,
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),all_threshold,All labelled compounds: threshold-derived,balanced_accuracy,3156,0.612729716,0.590196715,0.022533001,0.009882863,0.035284819,,"0.613 (0.01,0.035) [p=0.004]",,TRUE,10000,higher,0.022533001,custom_mtl_original,0.00069993,0.00419958,TRUE,9,6,10000,10000,,,,,,,,,,,,,,,,
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),all_threshold,All labelled compounds: threshold-derived,cohens_kappa,3156,0.278187203,0.227676245,0.050510958,0.020594297,0.080810601,,"0.278 (0.021,0.081) [p=0.001]",,TRUE,10000,higher,0.050510958,custom_mtl_original,0.00139986,0.0069993,TRUE,9,13,10000,10000,,,,,,,,,,,,,,,,
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),all_threshold,All labelled compounds: threshold-derived,mcc,3156,0.347125699,0.306824294,0.040301405,0.007680473,0.073542528,,"0.347 (0.008,0.074) [p=0.021]",,TRUE,10000,higher,0.040301405,custom_mtl_original,0.0209979,0.0419958,TRUE,9,209,10000,10000,,,,balanced_accuracy,"0.613 (0.01,0.035) [p=0.004]",,,balanced_accuracy,np_recall,np_precision,np_f1,roc_auc,pr_auc_nonpenetrant,mcc,cohens_kappa,np_wrong_side_count
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),all_threshold,All labelled compounds: threshold-derived,np_f1,3156,0.386185243,0.325082508,0.061102735,0.029692753,0.092811557,,"0.386 (0.03,0.093) [p=0]",,TRUE,10000,higher,0.061102735,custom_mtl_original,0.00019998,0.00179982,TRUE,9,1,10000,10000,,,,cohens_kappa,"0.278 (0.021,0.081) [p=0.001]",,,"0.613 (0.01,0.035) [p=0.004]","0.256 (0.026,0.076) [p=0]","0.786 (-0.045,0.048) [p=0.958]","0.386 (0.03,0.093) [p=0]","0.769 (0.005,0.021) [p=0.002]","0.631 (0.011,0.046) [p=0.001]","0.347 (0.008,0.074) [p=0.021]","0.278 (0.021,0.081) [p=0.001]","715 (-73,-25) [p=0]"
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),all_threshold,All labelled compounds: threshold-derived,np_precision,3156,0.785942492,0.784860558,0.001081934,-0.04513054,0.048126929,,"0.786 (-0.045,0.048) [p=0.958]",,FALSE,10000,higher,0.001081934,custom_mtl_original,0.95760424,0.95760424,FALSE,9,9576,10000,10000,,,,mcc,"0.347 (0.008,0.074) [p=0.021]",,,,,,,,,,,
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),all_threshold,All labelled compounds: threshold-derived,np_recall,3156,0.255983351,0.204994797,0.050988554,0.026014566,0.075962543,,"0.256 (0.026,0.076) [p=0]",,TRUE,10000,higher,0.050988554,custom_mtl_original,0.00019998,0.00179982,TRUE,9,1,10000,10000,,,,np_f1,"0.386 (0.03,0.093) [p=0]",,,,,,,,,,,
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),all_threshold,All labelled compounds: threshold-derived,np_wrong_side_count,3156,715,764,-49,-73,-25,,"715 (-73,-25) [p=0]",,TRUE,10000,lower,49,custom_mtl_original,0.00019998,0.00179982,TRUE,9,1,10000,10000,,,,np_precision,"0.786 (-0.045,0.048) [p=0.958]",,,,,,,,,,,
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),all_threshold,All labelled compounds: threshold-derived,pr_auc_nonpenetrant,3156,0.630599309,0.60170806,0.028891248,0.011485457,0.046312125,,"0.631 (0.011,0.046) [p=0.001]",,TRUE,10000,higher,0.028891248,custom_mtl_original,0.00149985,0.0069993,TRUE,9,14,10000,10000,,,,np_recall,"0.256 (0.026,0.076) [p=0]",,,,,,,,,,,
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),all_threshold,All labelled compounds: threshold-derived,roc_auc,3156,0.76857772,0.755583947,0.012993773,0.005203819,0.021120787,,"0.769 (0.005,0.021) [p=0.002]",,TRUE,10000,higher,0.012993773,custom_mtl_original,0.00159984,0.0069993,TRUE,9,15,10000,10000,,,,np_wrong_side_count,"715 (-73,-25) [p=0]",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pr_auc_nonpenetrant,"0.631 (0.011,0.046) [p=0.001]",,,,,,,,,,,
