model,display_name,subset,subset_label,metric,value,direction
dummy_mean_regression,Dummy regression mean,measured_regression,Measured compounds: regression,mae,0.5790906916143362,lower
dummy_mean_regression,Dummy regression mean,measured_regression,Measured compounds: regression,mse,0.5446257114784911,lower
dummy_mean_regression,Dummy regression mean,measured_regression,Measured compounds: regression,pearson_r,-0.018772044829888916,higher
dummy_mean_regression,Dummy regression mean,measured_regression,Measured compounds: regression,r2,-0.00019821918774121094,higher
dummy_mean_regression,Dummy regression mean,measured_regression,Measured compounds: regression,np_mae,1.3807999023364135,lower
dummy_mean_regression,Dummy regression mean,measured_threshold,Measured compounds: threshold-derived,balanced_accuracy,0.5,higher
dummy_mean_regression,Dummy regression mean,measured_threshold,Measured compounds: threshold-derived,np_recall,0.0,higher
dummy_mean_regression,Dummy regression mean,measured_threshold,Measured compounds: threshold-derived,np_precision,,higher
dummy_mean_regression,Dummy regression mean,measured_threshold,Measured compounds: threshold-derived,np_f1,,higher
dummy_mean_regression,Dummy regression mean,measured_threshold,Measured compounds: threshold-derived,roc_auc,0.4974061641745499,higher
dummy_mean_regression,Dummy regression mean,measured_threshold,Measured compounds: threshold-derived,pr_auc_nonpenetrant,0.11274885433100444,higher
dummy_mean_regression,Dummy regression mean,measured_threshold,Measured compounds: threshold-derived,mcc,,higher
dummy_mean_regression,Dummy regression mean,measured_threshold,Measured compounds: threshold-derived,cohens_kappa,0.0,higher
dummy_mean_regression,Dummy regression mean,measured_threshold,Measured compounds: threshold-derived,np_wrong_side_count,87.0,lower
dummy_mean_regression,Dummy regression mean,all_threshold,All labelled compounds: threshold-derived,balanced_accuracy,0.5,higher
dummy_mean_regression,Dummy regression mean,all_threshold,All labelled compounds: threshold-derived,np_recall,0.0,higher
dummy_mean_regression,Dummy regression mean,all_threshold,All labelled compounds: threshold-derived,np_precision,,higher
dummy_mean_regression,Dummy regression mean,all_threshold,All labelled compounds: threshold-derived,np_f1,,higher
dummy_mean_regression,Dummy regression mean,all_threshold,All labelled compounds: threshold-derived,roc_auc,0.5,higher
dummy_mean_regression,Dummy regression mean,all_threshold,All labelled compounds: threshold-derived,pr_auc_nonpenetrant,0.3044517861165018,higher
dummy_mean_regression,Dummy regression mean,all_threshold,All labelled compounds: threshold-derived,mcc,,higher
dummy_mean_regression,Dummy regression mean,all_threshold,All labelled compounds: threshold-derived,cohens_kappa,0.0,higher
dummy_mean_regression,Dummy regression mean,all_threshold,All labelled compounds: threshold-derived,np_wrong_side_count,961.0,lower
dummy_mean_regression,Dummy regression mean,classification_only_threshold,Classification-only compounds: threshold-derived,balanced_accuracy,0.5,higher
dummy_mean_regression,Dummy regression mean,classification_only_threshold,Classification-only compounds: threshold-derived,np_recall,0.0,higher
dummy_mean_regression,Dummy regression mean,classification_only_threshold,Classification-only compounds: threshold-derived,np_precision,,higher
dummy_mean_regression,Dummy regression mean,classification_only_threshold,Classification-only compounds: threshold-derived,np_f1,,higher
dummy_mean_regression,Dummy regression mean,classification_only_threshold,Classification-only compounds: threshold-derived,roc_auc,0.5003608983767492,higher
dummy_mean_regression,Dummy regression mean,classification_only_threshold,Classification-only compounds: threshold-derived,pr_auc_nonpenetrant,0.3658011309001164,higher
dummy_mean_regression,Dummy regression mean,classification_only_threshold,Classification-only compounds: threshold-derived,mcc,,higher
dummy_mean_regression,Dummy regression mean,classification_only_threshold,Classification-only compounds: threshold-derived,cohens_kappa,0.0,higher
dummy_mean_regression,Dummy regression mean,classification_only_threshold,Classification-only compounds: threshold-derived,np_wrong_side_count,874.0,lower
dummy_prior_classification,Dummy classification baseline,measured_threshold,Measured compounds: threshold-derived,balanced_accuracy,0.5,higher
dummy_prior_classification,Dummy classification baseline,measured_threshold,Measured compounds: threshold-derived,np_recall,0.0,higher
dummy_prior_classification,Dummy classification baseline,measured_threshold,Measured compounds: threshold-derived,np_precision,,higher
dummy_prior_classification,Dummy classification baseline,measured_threshold,Measured compounds: threshold-derived,np_f1,,higher
dummy_prior_classification,Dummy classification baseline,measured_threshold,Measured compounds: threshold-derived,roc_auc,0.49610924626182484,higher
dummy_prior_classification,Dummy classification baseline,measured_threshold,Measured compounds: threshold-derived,pr_auc_nonpenetrant,0.11294793779580799,higher
dummy_prior_classification,Dummy classification baseline,measured_threshold,Measured compounds: threshold-derived,mcc,,higher
dummy_prior_classification,Dummy classification baseline,measured_threshold,Measured compounds: threshold-derived,cohens_kappa,0.0,higher
dummy_prior_classification,Dummy classification baseline,measured_threshold,Measured compounds: threshold-derived,np_wrong_side_count,87.0,lower
dummy_prior_classification,Dummy classification baseline,all_threshold,All labelled compounds: threshold-derived,balanced_accuracy,0.5,higher
dummy_prior_classification,Dummy classification baseline,all_threshold,All labelled compounds: threshold-derived,np_recall,0.0,higher
dummy_prior_classification,Dummy classification baseline,all_threshold,All labelled compounds: threshold-derived,np_precision,,higher
dummy_prior_classification,Dummy classification baseline,all_threshold,All labelled compounds: threshold-derived,np_f1,,higher
dummy_prior_classification,Dummy classification baseline,all_threshold,All labelled compounds: threshold-derived,roc_auc,0.4995837669094693,higher
dummy_prior_classification,Dummy classification baseline,all_threshold,All labelled compounds: threshold-derived,pr_auc_nonpenetrant,0.30432319464580004,higher
dummy_prior_classification,Dummy classification baseline,all_threshold,All labelled compounds: threshold-derived,mcc,,higher
dummy_prior_classification,Dummy classification baseline,all_threshold,All labelled compounds: threshold-derived,cohens_kappa,0.0,higher
dummy_prior_classification,Dummy classification baseline,all_threshold,All labelled compounds: threshold-derived,np_wrong_side_count,961.0,lower
dummy_prior_classification,Dummy classification baseline,classification_only_threshold,Classification-only compounds: threshold-derived,balanced_accuracy,0.5,higher
dummy_prior_classification,Dummy classification baseline,classification_only_threshold,Classification-only compounds: threshold-derived,np_recall,0.0,higher
