feature,pearson_r,abs_pearson_r
TopoPSA(NO),-0.5897093169698467,0.5897093169698467
TopoPSA,-0.5774260108406554,0.5774260108406554
TPSA,-0.5314118670902135,0.5314118670902135
DPSA3,-0.49420935139408306,0.49420935139408306
ATSC1c,0.4844373677328506,0.4844373677328506
PNSA3,0.47973178595682736,0.47973178595682736
DPSA4,-0.4763157813564293,0.4763157813564293
ATSC0c,-0.45479344528918747,0.45479344528918747
RASA,0.45000074060775536,0.45000074060775536
RPSA,-0.4500007406077552,0.4500007406077552
WNSA3,0.44517270055628905,0.44517270055628905
nHetero,-0.44122888403782373,0.44122888403782373
nO,-0.4285872801414996,0.4285872801414996
PPSA4,-0.4126406181382852,0.4126406181382852
WNSA4,0.3994358520349786,0.3994358520349786
FNSA2,0.398427394735243,0.398427394735243
nHBDon,-0.39818644057078184,0.39818644057078184
nHBAcc,-0.39666383931769966,0.39666383931769966
NdO,-0.3941256421400081,0.3941256421400081
SdO,-0.3872036253578811,0.3872036253578811
ECFP_650,-0.3833419722405711,0.3833419722405711
nBondsD,-0.37854509299412237,0.37854509299412237
AATSC0c,-0.37785610369238265,0.37785610369238265
VSA_EState2,-0.3727830668813854,0.3727830668813854
MACCS_146,-0.3722176332277093,0.3722176332277093
FNSA3,0.3712919622014803,0.3712919622014803
PPSA3,-0.3700418990491271,0.3700418990491271
PNSA2,0.3697789430205928,0.3697789430205928
C1SP2,-0.36891289584428877,0.36891289584428877
MACCS_159,-0.36731224360393877,0.36731224360393877
PNSA4,0.36702937877262787,0.36702937877262787
VSA_EState3,-0.35705062684032546,0.35705062684032546
PEOE_VSA2,-0.35529511521066454,0.35529511521066454
IC1,-0.35286710368996665,0.35286710368996665
IC0,-0.35125384707500307,0.35125384707500307
AATSC1c,0.3488813978062033,0.3488813978062033
WPSA4,-0.34800895103011115,0.34800895103011115
EState_VSA6,-0.3466236279500051,0.3466236279500051
SIC1,-0.3457116700759039,0.3457116700759039
BIC1,-0.34156762085324277,0.34156762085324277
EState_VSA2,-0.3383509806410588,0.3383509806410588
DPSA2,-0.33605067316248804,0.33605067316248804
FPSA2,-0.3341488057770334,0.3341488057770334
WNSA2,0.33080271582855086,0.33080271582855086
FPSA4,-0.3281937737414615,0.3281937737414615
naHRing,-0.327004830939076,0.327004830939076
nN,-0.32459355049637945,0.32459355049637945
CIC2,0.3220076811246157,0.3220076811246157
MACCS_131,-0.32077237809222553,0.32077237809222553
WPSA3,-0.31641292858239367,0.31641292858239367
SIC2,-0.3121592336062057,0.3121592336062057
MACCS_140,-0.30732176391088933,0.30732176391088933
EState_VSA10,-0.30722239517751854,0.30722239517751854
MIC1,-0.30422011264333404,0.30422011264333404
ATS0dv,-0.3006842790965089,0.3006842790965089
BIC2,-0.29878988019912994,0.29878988019912994
PPSA2,-0.2965505025774773,0.2965505025774773
MACCS_154,-0.2954084063811066,0.2954084063811066
MACCS_117,-0.2928136678071294,0.2928136678071294
FPSA3,-0.29178369194614856,0.29178369194614856
ATSC0se,-0.28898449006389787,0.28898449006389787
MACCS_164,-0.2884684718689387,0.2884684718689387
MACCS_136,-0.287331986551794,0.287331986551794
MACCS_102,-0.28452679186697283,0.28452679186697283
PEOE_VSA13,-0.2832354250227996,0.2832354250227996
MACCS_95,-0.2824611505829457,0.2824611505829457
PEOE_VSA12,-0.281987956704701,0.281987956704701
PEOE_VSA6,0.2802366905002634,0.2802366905002634
EState_VSA3,-0.27757472858818116,0.27757472858818116
SMR_VSA1,-0.27705395816731027,0.27705395816731027
WPSA2,-0.2723011418269785,0.2723011418269785
MACCS_65,-0.2719255838017588,0.2719255838017588
IC2,-0.26931889853488916,0.26931889853488916
n5HRing,-0.26804130611510024,0.26804130611510024
ATS8dv,-0.2680131254720105,0.2680131254720105
MACCS_110,-0.26789535967670863,0.26789535967670863
SLogP,0.2677037267125626,0.2677037267125626
ATS1dv,-0.26691037746794455,0.26691037746794455
n5Ring,-0.2659017555893019,0.2659017555893019
PEOE_VSA9,-0.265407883714064,0.265407883714064
NaaNH,-0.26340773973072473,0.26340773973072473
PEOE_VSA1,-0.26332195336394154,0.26332195336394154
ATSC0dv,-0.2625788165616297,0.2625788165616297
SMR_VSA3,-0.26257020049902324,0.26257020049902324
MIC2,-0.261917764392602,0.261917764392602
MACCS_150,-0.26177142646667884,0.26177142646667884
MACCS_83,-0.26149688102132373,0.26149688102132373
n5aHRing,-0.2614856234009078,0.2614856234009078
n5aRing,-0.2614856234009078,0.2614856234009078
AATSC0dv,-0.2608816439295777,0.2608816439295777
ECFP_807,-0.2588289698597372,0.2588289698597372
CIC1,0.25806317383732064,0.25806317383732064
MACCS_77,-0.2571261124920356,0.2571261124920356
MACCS_96,-0.2564668197697839,0.2564668197697839
ATS2dv,-0.256270527939654,0.256270527939654
MACCS_124,-0.25535668734404854,0.25535668734404854
ATSC0are,-0.25485512634443014,0.25485512634443014
NaaO,-0.25484292971091455,0.25484292971091455
MACCS_94,-0.25474516960214105,0.25474516960214105
SaaNH,-0.2544984236748751,0.2544984236748751
BertzCT,-0.25342765707660686,0.25342765707660686
ATSC0pe,-0.2520815578000997,0.2520815578000997
SaaO,-0.25118839203864746,0.25118839203864746
GRAVp,-0.24897538117988693,0.24897538117988693
MACCS_43,-0.2485052462112069,0.2485052462112069
NsOH,-0.24734955774206827,0.24734955774206827
SRW05,-0.24691560388161196,0.24691560388161196
ATS4dv,-0.24654339616040308,0.24654339616040308
nBondsKD,-0.245728972877022,0.245728972877022
ATS6dv,-0.24174405554768863,0.24174405554768863
GGI1,-0.24164665521255405,0.24164665521255405
ATS7dv,-0.24123639920250606,0.24123639920250606
CIC3,0.23978085874281804,0.23978085874281804
MIC3,-0.23942869980269163,0.23942869980269163
MIC5,-0.23878246162789965,0.23878246162789965
ECFP_588,0.23793840714135842,0.23793840714135842
SlogP_VSA3,-0.2375489870314585,0.2375489870314585
MIC4,-0.23730773735557648,0.23730773735557648
MACCS_92,-0.23692576484485628,0.23692576484485628
MACCS_156,-0.23671336907194485,0.23671336907194485
WNSA1,-0.23670151461614214,0.23670151461614214
EState_VSA8,0.23669966644915955,0.23669966644915955
AATS1dv,-0.2356448331870847,0.2356448331870847
GRAVHp,-0.23556392257527078,0.23556392257527078
GRAV,-0.23480268091452458,0.23480268091452458
MACCS_130,-0.23472743862742645,0.23472743862742645
SsOH,-0.2333492780047402,0.2333492780047402
TIC0,-0.23244827918839667,0.23244827918839667
WPath,-0.23226720150105107,0.23226720150105107
GGI9,-0.2319272428778643,0.2319272428778643
TIC1,-0.23150774428880397,0.23150774428880397
PEOE_VSA3,-0.23008169557160382,0.23008169557160382
GGI10,-0.22963379328669806,0.22963379328669806
TSRW10,-0.22860749727692067,0.22860749727692067
MACCS_97,-0.22833219248207656,0.22833219248207656
Xch-5d,-0.22790186315299307,0.22790186315299307
ATSC2c,-0.22687701741649555,0.22687701741649555
nAcid,-0.2264499164415539,0.2264499164415539
RNCS,-0.22633302565712304,0.22633302565712304
ATS5dv,-0.22610249095000307,0.22610249095000307
NdssC,-0.22532619631758813,0.22532619631758813
ATS3dv,-0.2248811256654687,0.2248811256654687
n6aHRing,-0.22103786970464917,0.22103786970464917
GRAVH,-0.22046460652978214,0.22046460652978214
ECFP_762,-0.22030899876659824,0.22030899876659824
MACCS_139,-0.2202567080028868,0.2202567080028868
MACCS_151,-0.22009485711653984,0.22009485711653984
SlogP_VSA2,-0.21993897942622725,0.21993897942622725
PNSA1,-0.21954997597487447,0.21954997597487447
ECIndex,-0.21709644365312214,0.21709644365312214
AATS1are,-0.21672208973404816,0.21672208973404816
nBondsM,-0.2164527852739811,0.2164527852739811
ECFP_1917,-0.21500430175212348,0.21500430175212348
SIC3,-0.21441761200985124,0.21441761200985124
MACCS_71,-0.21421291555751362,0.21421291555751362
RPCS,0.2132271902648546,0.2132271902648546
Diameter,-0.2123882221311727,0.2123882221311727
NaaN,-0.21192554237719663,0.21192554237719663
GGI7,-0.21122975515964426,0.21122975515964426
CIC4,0.21067786209267994,0.21067786209267994
ATS1m,-0.21059904348574374,0.21059904348574374
SaaN,-0.20884553886213386,0.20884553886213386
MACCS_123,-0.2086939291056546,0.2086939291056546
MACCS_25,-0.20802194167773227,0.20802194167773227
CIC5,0.20801245605440177,0.20801245605440177
ECFP_1745,-0.20725161855099014,0.20725161855099014
GGI8,-0.20693400247630986,0.20693400247630986
ECFP_725,-0.20681566074346508,0.20681566074346508
ATS1Z,-0.20673952525953995,0.20673952525953995
SRW07,-0.20668982811537057,0.20668982811537057
ECFP_715,-0.20644593398611322,0.20644593398611322
ECFP_953,-0.20643091744542283,0.20643091744542283
GGI3,-0.20599450754016624,0.20599450754016624
FNSA4,0.2047432621202121,0.2047432621202121
mZagreb2,-0.2041399962017023,0.2041399962017023
ECFP_274,-0.2039326662298726,0.2039326662298726
AATS1se,-0.20381515678728976,0.20381515678728976
ECFP_1452,-0.2036487736158225,0.2036487736158225
Radius,-0.20338173047208657,0.20338173047208657
Xp-2d,-0.20248841802499745,0.20248841802499745
nHeavyAtom,-0.20200451966015778,0.20200451966015778
MACCS_142,-0.20171815895557646,0.20171815895557646
MW,-0.200478899267733,0.200478899267733
AATS1pe,-0.20038562669461812,0.20038562669461812
Sm,-0.20034821315853105,0.20034821315853105
BIC3,-0.20004420606780093,0.20004420606780093
GGI4,-0.1998524502295526,0.1998524502295526
MACCS_106,-0.19967907228405174,0.19967907228405174
GGI5,-0.19960140021160033,0.19960140021160033
nRot,-0.19697968938152208,0.19697968938152208
ECFP_1607,-0.1956252165357404,0.1956252165357404
SZ,-0.19527117782636755,0.19527117782636755
ECFP_1152,-0.19455212142935266,0.19455212142935266
Xpc-4d,-0.19445578440977285,0.19445578440977285
MOMI-X,-0.19440349768162943,0.19440349768162943
EState_VSA1,-0.19380691960294216,0.19380691960294216
Xp-1d,-0.19378270101129036,0.19378270101129036
MACCS_91,-0.19372350294655402,0.19372350294655402
SlogP_VSA1,-0.19349057436614944,0.19349057436614944
ECFP_116,-0.1932539769392821,0.1932539769392821
nHRing,-0.19304155195484027,0.19304155195484027
Xc-3d,-0.19304022764851392,0.19304022764851392
ATS4m,-0.1929984893445471,0.1929984893445471
EState_VSA5,0.1927024136631405,0.1927024136631405
ECFP_1182,-0.19048724739081074,0.19048724739081074
MOMI-Y,-0.19016892263533025,0.19016892263533025
ECFP_1470,0.19015680016903,0.19015680016903
TIC2,-0.1897609752717586,0.1897609752717586
IC3,-0.18968522012550065,0.18968522012550065
ATS8m,-0.1896226254179329,0.1896226254179329
SIC4,-0.18961263362363637,0.18961263362363637
ATSC2dv,-0.18949289398947677,0.18949289398947677
MACCS_127,-0.18807510683965153,0.18807510683965153
MACCS_143,-0.18807510683965153,0.18807510683965153
nBondsO,-0.1874597237017676,0.1874597237017676
MWC01,-0.1874597237017676,0.1874597237017676
Zagreb1,-0.18707706466911886,0.18707706466911886
SIC5,-0.1866757254988288,0.1866757254988288
piPC2,-0.186585006327997,0.186585006327997
MPC2,-0.18638942213940524,0.18638942213940524
ECFP_1043,-0.1861419532758149,0.1861419532758149
ZMIC0,-0.18604114322991572,0.18604114322991572
ECFP_1585,0.18567500275360715,0.18567500275360715
AATS0dv,-0.18550099466519254,0.18550099466519254
SRW09,-0.18507260092975478,0.18507260092975478
ATS4Z,-0.1850624474711724,0.1850624474711724
piPC1,-0.18492635758460094,0.18492635758460094
ECFP_1623,-0.18438217650671215,0.18438217650671215
ATS2m,-0.18276119492629672,0.18276119492629672
ECFP_350,-0.1827120517931923,0.1827120517931923
ECFP_314,-0.18263627320857131,0.18263627320857131
SssCH2,0.18202232851736985,0.18202232851736985
GGI6,-0.18201928803480621,0.18201928803480621
ECFP_1934,-0.18181252852873644,0.18181252852873644
ECFP_753,-0.18127262298771174,0.18127262298771174
LabuteASA,-0.18086670268016086,0.18086670268016086
ATS2Z,-0.18057431564850424,0.18057431564850424
ECFP_2044,0.1803308224875693,0.1803308224875693
Zagreb2,-0.17980478703481056,0.17980478703481056
ATS8Z,-0.17966123689642438,0.17966123689642438
SddssS,0.17939849482936795,0.17939849482936795
TMWC10,-0.17873187786703282,0.17873187786703282
Xp-3d,-0.1770167907272419,0.1770167907272419
ATSC0d,-0.17688238399288886,0.17688238399288886
ATS5m,-0.176659559066055,0.176659559066055
MACCS_33,-0.17652279111491198,0.17652279111491198
MACCS_32,-0.17652279111491198,0.17652279111491198
AATS0d,-0.1756216271402562,0.1756216271402562
ECFP_1604,-0.17437649781856474,0.17437649781856474
ECFP_1071,-0.1740974768879553,0.1740974768879553
BIC4,-0.17363607955642826,0.17363607955642826
Xpc-5d,-0.17289128799664755,0.17289128799664755
IC4,-0.17282758390176253,0.17282758390176253
ECFP_689,-0.17281123732537423,0.17281123732537423
GeomRadius,-0.17234127265722884,0.17234127265722884
NddssS,-0.17218317013033665,0.17218317013033665
MACCS_51,-0.1716808075747699,0.1716808075747699
ECFP_1100,-0.17155361746653214,0.17155361746653214
IC5,-0.17100480382871214,0.17100480382871214
ECFP_378,-0.17083041490671394,0.17083041490671394
MACCS_60,-0.1706546532622526,0.1706546532622526
BIC5,-0.1705127503907759,0.1705127503907759
ATS5Z,-0.1704194291658302,0.1704194291658302
Xp-4d,-0.17026234472513285,0.17026234472513285
MACCS_49,-0.17019048389172725,0.17019048389172725
ATS0are,-0.1696003454887461,0.1696003454887461
JGI10,-0.16942069945916807,0.16942069945916807
ATS7m,-0.16918600363234607,0.16918600363234607
piPC3,-0.16911640169221184,0.16911640169221184
ATS0d,-0.16851625404607018,0.16851625404607018
GGI2,-0.1680041026177962,0.1680041026177962
MOMI-Z,-0.16756703911779727,0.16756703911779727
ATS3m,-0.1666456929066318,0.1666456929066318
MACCS_67,-0.16664306181719526,0.16664306181719526
MACCS_61,-0.16664306181719526,0.16664306181719526
ATS0pe,-0.16626745960508318,0.16626745960508318
SlogP_VSA8,-0.16626465195146106,0.16626465195146106
ATS6m,-0.16559386601876136,0.16559386601876136
MPC3,-0.16553875572649548,0.16553875572649548
GeomDiameter,-0.16540181245478686,0.16540181245478686
MACCS_119,-0.16494971552024837,0.16494971552024837
PEOE_VSA11,-0.1647846285109577,0.1647846285109577
ECFP_1737,-0.16427622579412937,0.16427622579412937
MACCS_63,-0.16379632862470955,0.16379632862470955
ECFP_1199,0.16370858973194913,0.16370858973194913
MACCS_157,-0.1633988389693146,0.1633988389693146
ECFP_806,-0.16321104964870478,0.16321104964870478
MACCS_24,-0.16314305304967786,0.16314305304967786
piPC4,-0.16277960866806576,0.16277960866806576
naRing,-0.16258227709685596,0.16258227709685596
MACCS_55,-0.1624152660767471,0.1624152660767471
MACCS_90,-0.16229384973371463,0.16229384973371463
AATS1i,-0.16227497665477722,0.16227497665477722
ATSC1dv,-0.16225336583296146,0.16225336583296146
ATS7Z,-0.1622162614954591,0.1622162614954591
ATSC5dv,0.16208671577249334,0.16208671577249334
ATS3Z,-0.16199739208406233,0.16199739208406233
SIC0,-0.1618616439225019,0.1618616439225019
ECFP_1963,-0.16177863921918073,0.16177863921918073
ECFP_397,0.16174873334311257,0.16174873334311257
SdssC,0.16143105276937328,0.16143105276937328
MACCS_56,-0.1613617467535229,0.1613617467535229
NddsN,-0.1613617467535229,0.1613617467535229
ATS6Z,-0.16088665572529195,0.16088665572529195
piPC6,-0.16074414929284828,0.16074414929284828
WPol,-0.16057005619919734,0.16057005619919734
ATSC5se,0.16032795256169693,0.16032795256169693
NssNH,-0.16008233864708699,0.16008233864708699
ECFP_1266,-0.16004846113411017,0.16004846113411017
ECFP_1167,0.16004449720658273,0.16004449720658273
ECFP_838,-0.15988646019753938,0.15988646019753938
PEOE_VSA10,-0.15950828345298115,0.15950828345298115
WPSA1,-0.15944436617563798,0.15944436617563798
MACCS_73,-0.15932452738754974,0.15932452738754974
AATSC0se,-0.15908412637322653,0.15908412637322653
ATSC5pe,0.1588301439475978,0.1588301439475978
Xch-7d,-0.15867706415127986,0.15867706415127986
MIC0,-0.15848505721316103,0.15848505721316103
SRW02,-0.158332238374491,0.158332238374491
MACCS_88,-0.15798363387650527,0.15798363387650527
MACCS_64,-0.15796273925164145,0.15796273925164145
VMcGowan,-0.1573634676588126,0.1573634676588126
ECFP_1857,-0.15720355087726828,0.15720355087726828
TIC3,-0.15717462244462563,0.15717462244462563
MACCS_58,-0.1569934857949042,0.1569934857949042
FCSP3,0.15670819432877636,0.15670819432877636
nS,-0.15664747617352345,0.15664747617352345
MACCS_80,-0.15659627057645018,0.15659627057645018
ECFP_331,-0.15652114392639854,0.15652114392639854
ECFP_1297,-0.156376797291494,0.156376797291494
ECFP_1542,-0.15620209765456533,0.15620209765456533
ECFP_1602,-0.1561676486407819,0.1561676486407819
MACCS_70,-0.15606605107418012,0.15606605107418012
ATS0se,-0.15597736063631112,0.15597736063631112
ECFP_656,-0.15591135306708961,0.15591135306708961
ECFP_1387,-0.15550609228941242,0.15550609228941242
MACCS_133,-0.15528295077439083,0.15528295077439083
ECFP_115,-0.15498366928816343,0.15498366928816343
Xch-6d,-0.15410514836094755,0.15410514836094755
piPC7,-0.15390435744013461,0.15390435744013461
ECFP_1994,-0.1538602565037899,0.1538602565037899
MWC02,-0.15337227166805806,0.15337227166805806
Mare,-0.1533152289001429,0.1533152289001429
MACCS_57,-0.15330724647777738,0.15330724647777738
SMR,-0.1532754565888537,0.1532754565888537
ECFP_1680,-0.15292459132217304,0.15292459132217304
ATS1are,-0.15289132856089188,0.15289132856089188
ATSC5are,0.1517855288064888,0.1517855288064888
MACCS_89,-0.15172688248685254,0.15172688248685254
ECFP_1416,-0.15164486671070096,0.15164486671070096
piPC8,-0.15163218248828042,0.15163218248828042
SddsN,0.1510764904215968,0.1510764904215968
SRW04,-0.15085813594154512,0.15085813594154512
TIC4,-0.15017726042733362,0.15017726042733362
ATS1pe,-0.1501165230845822,0.1501165230845822
MPC4,-0.15007381781140175,0.15007381781140175
ATS0v,-0.14992590039719145,0.14992590039719145
TIC5,-0.14976402516545906,0.14976402516545906
Sv,-0.14928193343087895,0.14928193343087895
ATS1d,-0.14926521683996272,0.14926521683996272
TpiPC10,-0.14915147895534558,0.14915147895534558
piPC5,-0.1491389623511278,0.1491389623511278
ECFP_648,-0.1482003405151028,0.1482003405151028
NdsN,-0.14754296738690073,0.14754296738690073
ECFP_268,-0.14703784952008772,0.14703784952008772
ECFP_1070,-0.1466389057643079,0.1466389057643079
ECFP_1398,-0.1464096381905922,0.1464096381905922
MWC03,-0.146147423698185,0.146147423698185
ATS8d,-0.14610507799568997,0.14610507799568997
ECFP_1897,-0.14595296259325244,0.14595296259325244
ECFP_1380,-0.14571792932341499,0.14571792932341499
ECFP_1504,-0.14557696668265024,0.14557696668265024
ATSC1are,0.1453719160825034,0.1453719160825034
piPC9,-0.145215699929639,0.145215699929639
ATS1se,-0.1451991719654039,0.1451991719654039
AATS1d,-0.14488810981020245,0.14488810981020245
Xp-1dv,-0.14464684366607378,0.14464684366607378
ECFP_943,-0.14443193149725383,0.14443193149725383
nAromBond,-0.1441291138830589,0.1441291138830589
nBondsA,-0.1441291138830589,0.1441291138830589
ECFP_28,-0.14361979421176935,0.14361979421176935
Sare,-0.14352884455407175,0.14352884455407175
ECFP_1290,-0.14306438017347536,0.14306438017347536
MACCS_152,-0.14285762252186657,0.14285762252186657
ECFP_815,-0.14285353961837793,0.14285353961837793
ECFP_456,-0.14232221429864234,0.14232221429864234
