outer_fold,stage,tree_number_being_trained,n_trees_in_prediction,alpha,beta,margin,margin_buffer,loss_mode,n_samples,n_measured,n_classification_only,n_wrong_side,wrong_side_fraction,zero_hessian_count_all,zero_hessian_fraction_all,zero_hessian_count_measured,zero_hessian_count_classification_only,zero_hessian_fraction_classification_only,classification_only_correct_count,classification_only_wrong_count,unexpected_zero_hessian_count,expected_zero_but_positive_hessian_count,zero_gradient_and_hessian_count,zero_gradient_and_hessian_fraction,sum_hessian,min_hessian,min_positive_hessian,median_positive_hessian,max_hessian,negative_hessian_count,nonfinite_gradient_count,nonfinite_hessian_count
0,before_tree,1.0,0,1.0,2.5,-1.0,0.15,original,2524,612,1912,768,0.30427892234548337,1213,0.4805863708399366,0,1213,0.6344142259414226,1213,699,0,0,1213,0.4805863708399366,617.0,0.0,0.006510416666666667,0.006510416666666667,1.0065104166666667,0,0,0
0,before_tree,10.0,9,1.0,2.5,-1.0,0.15,original,2524,612,1912,768,0.30427892234548337,1213,0.4805863708399366,0,1213,0.6344142259414226,1213,699,0,0,1213,0.4805863708399366,617.0,0.0,0.006510416666666667,0.006510416666666667,1.0065104166666667,0,0,0
0,before_tree,25.0,24,1.0,2.5,-1.0,0.15,original,2524,612,1912,768,0.30427892234548337,1213,0.4805863708399366,0,1213,0.6344142259414226,1213,699,0,0,1213,0.4805863708399366,617.0,0.0,0.006510416666666667,0.006510416666666667,1.0065104166666667,0,0,0
0,before_tree,50.0,49,1.0,2.5,-1.0,0.15,original,2524,612,1912,768,0.30427892234548337,1213,0.4805863708399366,0,1213,0.6344142259414226,1213,699,0,0,1213,0.4805863708399366,617.0,0.0,0.006510416666666667,0.006510416666666667,1.0065104166666667,0,0,0
0,before_tree,100.0,99,1.0,2.5,-1.0,0.15,original,2524,612,1912,777,0.3078446909667195,1202,0.4762282091917591,0,1202,0.6286610878661087,1202,710,0,0,1202,0.4762282091917591,617.0146373149203,0.0,0.0028473804100227792,0.006510416666666667,1.0065104166666667,0,0,0
0,before_tree,250.0,249,1.0,2.5,-1.0,0.15,original,2524,612,1912,767,0.3038827258320127,1190,0.4714738510301109,0,1190,0.6223849372384938,1190,722,0,0,1190,0.4714738510301109,616.7627182991647,0.0,0.0028473804100227792,0.006510416666666667,1.0065104166666667,0,0,0
0,before_tree,500.0,499,1.0,2.5,-1.0,0.15,original,2524,612,1912,719,0.28486529318542,1222,0.48415213946117275,0,1222,0.6391213389121339,1222,690,0,0,1222,0.48415213946117275,616.3623054290052,0.0,0.0028473804100227792,0.006510416666666667,1.0065104166666667,0,0,0
0,before_tree,750.0,749,1.0,2.5,-1.0,0.15,original,2524,612,1912,719,0.28486529318542,1222,0.48415213946117275,0,1222,0.6391213389121339,1222,690,0,0,1222,0.48415213946117275,616.3000338126423,0.0,0.0028473804100227792,0.006510416666666667,1.0065104166666667,0,0,0
0,before_tree,1000.0,999,1.0,2.5,-1.0,0.15,original,2524,612,1912,723,0.2864500792393027,1218,0.48256735340729,0,1218,0.6370292887029289,1218,694,0,0,1218,0.48256735340729,616.2528147541761,0.0,0.0028473804100227792,0.006510416666666667,1.0065104166666667,0,0,0
0,after_final_tree,,1000,1.0,2.5,-1.0,0.15,original,2524,612,1912,723,0.2864500792393027,1218,0.48256735340729,0,1218,0.6370292887029289,1218,694,0,0,1218,0.48256735340729,616.2528147541761,0.0,0.0028473804100227792,0.006510416666666667,1.0065104166666667,0,0,0
1,before_tree,1.0,0,1.0,2.5,-1.0,0.31,original,2525,612,1913,769,0.30455445544554455,1213,0.4803960396039604,0,1213,0.6340825927861997,1213,700,0,0,1213,0.4803960396039604,616.9999999999999,0.0,0.006501950585175552,0.006501950585175552,1.0065019505851756,0,0,0
1,before_tree,10.0,9,1.0,2.5,-1.0,0.31,original,2525,612,1913,769,0.30455445544554455,1213,0.4803960396039604,0,1213,0.6340825927861997,1213,700,0,0,1213,0.4803960396039604,616.9999999999999,0.0,0.006501950585175552,0.006501950585175552,1.0065019505851756,0,0,0
1,before_tree,25.0,24,1.0,2.5,-1.0,0.31,original,2525,612,1913,769,0.30455445544554455,1213,0.4803960396039604,0,1213,0.6340825927861997,1213,700,0,0,1213,0.4803960396039604,616.9999999999999,0.0,0.006501950585175552,0.006501950585175552,1.0065019505851756,0,0,0
1,before_tree,50.0,49,1.0,2.5,-1.0,0.31,original,2525,612,1913,769,0.30455445544554455,1213,0.4803960396039604,0,1213,0.6340825927861997,1213,700,0,0,1213,0.4803960396039604,616.9999999999999,0.0,0.006501950585175552,0.006501950585175552,1.0065019505851756,0,0,0
1,before_tree,100.0,99,1.0,2.5,-1.0,0.31,original,2525,612,1913,777,0.3077227722772277,1205,0.4772277227722772,0,1205,0.6299006795608991,1205,708,0,0,1205,0.4772277227722772,617.0227790432801,0.0,0.0028473804100227792,0.006501950585175552,1.0065019505851756,0,0,0
1,before_tree,250.0,249,1.0,2.5,-1.0,0.31,original,2525,612,1913,899,0.356039603960396,1097,0.43445544554455445,0,1097,0.5734448510193414,1097,816,0,0,1097,0.43445544554455445,617.3189954708508,0.0,0.0028473804100227792,0.006501950585175552,1.0065019505851756,0,0,0
1,before_tree,500.0,499,1.0,2.5,-1.0,0.31,original,2525,612,1913,917,0.36316831683168316,1082,0.4285148514851485,0,1082,0.5656037637219028,1082,831,0,0,1082,0.4285148514851485,617.2861932042027,0.0,0.0028473804100227792,0.006501950585175552,1.0065019505851756,0,0,0
1,before_tree,750.0,749,1.0,2.5,-1.0,0.31,original,2525,612,1913,927,0.3671287128712871,1070,0.42376237623762375,0,1070,0.559330893883952,1070,843,0,0,1070,0.42376237623762375,617.2488847451501,0.0,0.0028473804100227792,0.006501950585175552,1.0065019505851756,0,0,0
1,before_tree,1000.0,999,1.0,2.5,-1.0,0.31,original,2525,612,1913,929,0.3679207920792079,1066,0.42217821782178216,0,1066,0.5572399372713016,1066,847,0,0,1066,0.42217821782178216,617.1705243919417,0.0,0.0028473804100227792,0.006501950585175552,1.0065019505851756,0,0,0
1,after_final_tree,,1000,1.0,2.5,-1.0,0.31,original,2525,612,1913,929,0.3679207920792079,1066,0.42217821782178216,0,1066,0.5572399372713016,1066,847,0,0,1066,0.42217821782178216,617.1705243919417,0.0,0.0028473804100227792,0.006501950585175552,1.0065019505851756,0,0,0
2,before_tree,1.0,0,1.0,2.5,-1.0,0.35,original,2525,612,1913,769,0.30455445544554455,1214,0.4807920792079208,0,1214,0.6346053319393623,1214,699,0,0,1214,0.4807920792079208,616.9999999999999,0.0,0.006501950585175552,0.006501950585175552,1.0065019505851756,0,0,0
2,before_tree,10.0,9,1.0,2.5,-1.0,0.35,original,2525,612,1913,769,0.30455445544554455,1214,0.4807920792079208,0,1214,0.6346053319393623,1214,699,0,0,1214,0.4807920792079208,616.9999999999999,0.0,0.006501950585175552,0.006501950585175552,1.0065019505851756,0,0,0
2,before_tree,25.0,24,1.0,2.5,-1.0,0.35,original,2525,612,1913,769,0.30455445544554455,1214,0.4807920792079208,0,1214,0.6346053319393623,1214,699,0,0,1214,0.4807920792079208,616.9999999999999,0.0,0.006501950585175552,0.006501950585175552,1.0065019505851756,0,0,0
2,before_tree,50.0,49,1.0,2.5,-1.0,0.35,original,2525,612,1913,775,0.3069306930693069,1208,0.4784158415841584,0,1208,0.6314688970203868,1208,705,0,0,1208,0.4784158415841584,617.01708428246,0.0,0.0028473804100227792,0.006501950585175552,1.0065019505851756,0,0,0
2,before_tree,100.0,99,1.0,2.5,-1.0,0.35,original,2525,612,1913,847,0.33544554455445547,1141,0.4518811881188119,0,1141,0.5964453737584945,1141,772,0,0,1141,0.4518811881188119,617.2220956719818,0.0,0.0028473804100227792,0.006501950585175552,1.0065019505851756,0,0,0
2,before_tree,250.0,249,1.0,2.5,-1.0,0.35,original,2525,612,1913,941,0.37267326732673267,1061,0.4201980198019802,0,1061,0.5546262415054888,1061,852,0,0,1061,0.4201980198019802,617.3801123252694,0.0,0.0028473804100227792,0.006501950585175552,1.0065019505851756,0,0,0
2,before_tree,500.0,499,1.0,2.5,-1.0,0.35,original,2525,612,1913,919,0.36396039603960395,1082,0.4285148514851485,0,1082,0.5656037637219028,1082,831,0,0,1082,0.4285148514851485,617.1712871492427,0.0,0.0028473804100227792,0.006501950585175552,1.0065019505851756,0,0,0
2,before_tree,750.0,749,1.0,2.5,-1.0,0.35,original,2525,612,1913,914,0.36198019801980197,1087,0.4304950495049505,0,1087,0.5682174594877156,1087,826,0,0,1087,0.4304950495049505,617.1095408349157,0.0,0.0028473804100227792,0.006501950585175552,1.0065019505851756,0,0,0
2,before_tree,1000.0,999,1.0,2.5,-1.0,0.35,original,2525,612,1913,915,0.36237623762376237,1091,0.4320792079207921,0,1091,0.5703084161003659,1091,822,0,0,1091,0.4320792079207921,617.0685333732238,0.0,0.0028473804100227792,0.006501950585175552,1.0065019505851756,0,0,0
2,after_final_tree,,1000,1.0,2.5,-1.0,0.35,original,2525,612,1913,915,0.36237623762376237,1091,0.4320792079207921,0,1091,0.5703084161003659,1091,822,0,0,1091,0.4320792079207921,617.0648788030486,0.0,0.0028473804100227792,0.006501950585175552,1.0065019505851756,0,0,0
3,before_tree,1.0,0,1.0,2.5,-1.0,0.25,original,2525,612,1913,769,0.30455445544554455,1214,0.4807920792079208,0,1214,0.6346053319393623,1214,699,0,0,1214,0.4807920792079208,616.9999999999999,0.0,0.006501950585175552,0.006501950585175552,1.0065019505851756,0,0,0
3,before_tree,10.0,9,1.0,2.5,-1.0,0.25,original,2525,612,1913,769,0.30455445544554455,1214,0.4807920792079208,0,1214,0.6346053319393623,1214,699,0,0,1214,0.4807920792079208,616.9999999999999,0.0,0.006501950585175552,0.006501950585175552,1.0065019505851756,0,0,0
3,before_tree,25.0,24,1.0,2.5,-1.0,0.25,original,2525,612,1913,769,0.30455445544554455,1214,0.4807920792079208,0,1214,0.6346053319393623,1214,699,0,0,1214,0.4807920792079208,616.9999999999999,0.0,0.006501950585175552,0.006501950585175552,1.0065019505851756,0,0,0
3,before_tree,50.0,49,1.0,2.5,-1.0,0.25,original,2525,612,1913,769,0.30455445544554455,1214,0.4807920792079208,0,1214,0.6346053319393623,1214,699,0,0,1214,0.4807920792079208,616.9999999999999,0.0,0.006501950585175552,0.006501950585175552,1.0065019505851756,0,0,0
3,before_tree,100.0,99,1.0,2.5,-1.0,0.25,original,2525,612,1913,780,0.3089108910891089,1203,0.4764356435643564,0,1203,0.628855201254574,1203,710,0,0,1203,0.4764356435643564,617.0313211845103,0.0,0.0028473804100227792,0.006501950585175552,1.0065019505851756,0,0,0
3,before_tree,250.0,249,1.0,2.5,-1.0,0.25,original,2525,612,1913,821,0.32514851485148516,1164,0.460990099009901,0,1164,0.6084683742812337,1164,749,0,0,1164,0.460990099009901,617.0895906585188,0.0,0.0028473804100227792,0.006501950585175552,1.0065019505851756,0,0,0
3,before_tree,500.0,499,1.0,2.5,-1.0,0.25,original,2525,612,1913,833,0.3299009900990099,1156,0.45782178217821784,0,1156,0.6042864610559331,1156,757,0,0,1156,0.45782178217821784,616.9995038374839,0.0,0.0028473804100227792,0.006501950585175552,1.0065019505851756,0,0,0
