model,model_task,outer_fold,evaluation_subset,evaluation_task,n_evaluable,mse,median_absolute_error,mae,rmse,r2,pearson_r,np_mae,penetrant_mae,accuracy,balanced_accuracy,np_recall,np_precision,np_f1,penetrant_specificity,roc_auc,pr_auc_nonpenetrant,cohen_kappa,mcc,wrong_side_count,wrong_side_rate,np_wrong_side_count,penetrant_wrong_side_count
custom_mtl_original,regression,0,measured_regression,regression,153,0.261530653,0.293018905,0.386662237,0.511400678,0.546247148,0.739257675,0.71290771,0.343162841,,,,,,,,,,,,,,
custom_mtl_original,regression,0,classification_all,classification,632,,,,,,,,,0.734177215,0.592349546,0.227979275,0.698412698,0.34375,0.956719818,0.782194578,0.621587997,0.227664868,0.283954835,168,0.265822785,149,19
custom_mtl_original,regression,0,classification_measured,classification,153,,,,,,,,,0.869281046,0.564814815,0.166666667,0.375,0.230769231,0.962962963,0.879835391,0.497922525,0.170731707,0.187619694,20,0.130718954,15,5
custom_mtl_original,regression,0,classification_only,classification,479,,,,,,,,,0.691022965,0.594116541,0.234285714,0.745454545,0.356521739,0.953947368,0.753552632,0.646918805,0.220281566,0.284306964,148,0.308977035,134,14
custom_mtl_original,regression,1,measured_regression,regression,153,0.226442368,0.230797761,0.35135198,0.47585961,0.564596424,0.759019845,0.480859071,0.334084368,,,,,,,,,,,,,,
custom_mtl_original,regression,1,classification_all,classification,631,,,,,,,,,0.76703645,0.640630932,0.317708333,0.792207792,0.453531599,0.963553531,0.749655942,0.629413925,0.33825827,0.395360685,147,0.23296355,131,16
custom_mtl_original,regression,1,classification_measured,classification,153,,,,,,,,,0.921568627,0.738888889,0.5,0.75,0.6,0.977777778,0.938683128,0.732486609,0.558441558,0.572570414,12,0.078431373,9,3
custom_mtl_original,regression,1,classification_only,classification,478,,,,,,,,,0.717573222,0.628043708,0.298850575,0.8,0.435146444,0.957236842,0.713777979,0.635430331,0.295693174,0.359474386,135,0.282426778,122,13
custom_mtl_original,regression,2,measured_regression,regression,153,0.23932001,0.248035863,0.35599808,0.489203444,0.577601931,0.767692102,0.786459407,0.302190415,,,,,,,,,,,,,,
custom_mtl_original,regression,2,classification_all,classification,631,,,,,,,,,0.746434231,0.599450693,0.223958333,0.796296296,0.349593496,0.974943052,0.765625,0.619088284,0.249312217,0.327141693,160,0.253565769,149,11
custom_mtl_original,regression,2,classification_measured,classification,153,,,,,,,,,0.888888889,0.577205882,0.176470588,0.5,0.260869565,0.977941176,0.833910035,0.378708341,0.215384615,0.25,17,0.111111111,14,3
custom_mtl_original,regression,2,classification_only,classification,478,,,,,,,,,0.70083682,0.601084394,0.228571429,0.833333333,0.358744395,0.97359736,0.755907591,0.664536633,0.238768737,0.324040729,143,0.29916318,135,8
custom_mtl_original,regression,3,measured_regression,regression,153,0.226865257,0.304554078,0.363376646,0.476303744,0.567487769,0.753719699,0.611488405,0.332362676,,,,,,,,,,,,,,
custom_mtl_original,regression,3,classification_all,classification,631,,,,,,,,,0.760697306,0.614096906,0.239583333,0.901960784,0.378600823,0.988610478,0.782139806,0.668854002,0.287613365,0.385201219,151,0.239302694,146,5
custom_mtl_original,regression,3,classification_measured,classification,153,,,,,,,,,0.934640523,0.705882353,0.411764706,1,0.583333333,1,0.912629758,0.690328347,0.554455446,0.619323537,10,0.065359477,10,0
custom_mtl_original,regression,3,classification_only,classification,478,,,,,,,,,0.705020921,0.603177746,0.222857143,0.886363636,0.356164384,0.98349835,0.763074022,0.689537103,0.245110997,0.343862779,141,0.294979079,136,5
custom_mtl_original,regression,4,measured_regression,regression,153,0.222713983,0.281744616,0.358407987,0.471925824,0.58299403,0.765162973,0.6101755,0.326937048,,,,,,,,,,,,,,
custom_mtl_original,regression,4,classification_all,classification,631,,,,,,,,,0.752773376,0.617193432,0.270833333,0.764705882,0.4,0.963553531,0.768780847,0.638316552,0.28642677,0.347782311,156,0.247226624,140,16
custom_mtl_original,regression,4,classification_measured,classification,153,,,,,,,,,0.941176471,0.735294118,0.470588235,1,0.64,1,0.934688581,0.752029759,0.612440191,0.664363839,9,0.058823529,9,0
custom_mtl_original,regression,4,classification_only,classification,478,,,,,,,,,0.692468619,0.599311645,0.251428571,0.733333333,0.374468085,0.947194719,0.734879774,0.64455082,0.230636155,0.288806355,147,0.307531381,131,16
