model,model_task,evaluation_subset,evaluation_task,metric,n_outer_folds,mean,sd,mean_sd
custom_mtl_original,regression,classification_all,classification,n_evaluable,5,631.2,0.44721359549995804,631.200000 ± 0.447214
custom_mtl_original,regression,classification_all,classification,accuracy,5,0.752223715621176,0.012754560610029128,0.752224 ± 0.012755
custom_mtl_original,regression,classification_all,classification,balanced_accuracy,5,0.6127443017967511,0.018654453482327523,0.612744 ± 0.018654
custom_mtl_original,regression,classification_all,classification,np_recall,5,0.25601252158894644,0.03908094738849807,0.256013 ± 0.039081
custom_mtl_original,regression,classification_all,classification,np_precision,5,0.7907166907166907,0.07349352503672985,0.790717 ± 0.073494
custom_mtl_original,regression,classification_all,classification,np_f1,5,0.3850951834986476,0.044490637192172805,0.385095 ± 0.044491
custom_mtl_original,regression,classification_all,classification,penetrant_specificity,5,0.9694760820045559,0.012538823639656374,0.969476 ± 0.012539
custom_mtl_original,regression,classification_all,classification,roc_auc,5,0.7696792344825145,0.013509957908988861,0.769679 ± 0.013510
custom_mtl_original,regression,classification_all,classification,pr_auc_nonpenetrant,5,0.6354521517756382,0.020126720760149583,0.635452 ± 0.020127
custom_mtl_original,regression,classification_all,classification,cohen_kappa,5,0.27785509783136064,0.042281780559658096,0.277855 ± 0.042282
custom_mtl_original,regression,classification_all,classification,mcc,5,0.3478881485117955,0.0451768804166789,0.347888 ± 0.045177
custom_mtl_original,regression,classification_all,classification,wrong_side_count,5,156.4,8.142481194328912,156.400000 ± 8.142481
custom_mtl_original,regression,classification_all,classification,wrong_side_rate,5,0.24777628437882404,0.012754560610029131,0.247776 ± 0.012755
custom_mtl_original,regression,classification_all,classification,np_wrong_side_count,5,143.0,7.648529270389178,143.000000 ± 7.648529
custom_mtl_original,regression,classification_all,classification,penetrant_wrong_side_count,5,13.4,5.504543577809153,13.400000 ± 5.504544
custom_mtl_original,regression,classification_measured,classification,n_evaluable,5,153.0,0.0,153.000000 ± 0.000000
custom_mtl_original,regression,classification_measured,classification,accuracy,5,0.9111111111111111,0.030864624714032923,0.911111 ± 0.030865
custom_mtl_original,regression,classification_measured,classification,balanced_accuracy,5,0.6644172113289761,0.08633565003789012,0.664417 ± 0.086336
custom_mtl_original,regression,classification_measured,classification,np_recall,5,0.34509803921568627,0.1616012245814866,0.345098 ± 0.161601
custom_mtl_original,regression,classification_measured,classification,np_precision,5,0.725,0.28504385627478446,0.725000 ± 0.285044
custom_mtl_original,regression,classification_measured,classification,np_f1,5,0.46299442586399114,0.19960332775199252,0.462994 ± 0.199603
custom_mtl_original,regression,classification_measured,classification,penetrant_specificity,5,0.9837363834422657,0.016043961876617184,0.983736 ± 0.016044
custom_mtl_original,regression,classification_measured,classification,roc_auc,5,0.8999493784441881,0.04368545234394698,0.899949 ± 0.043685
custom_mtl_original,regression,classification_measured,classification,pr_auc_nonpenetrant,5,0.6102951159939178,0.16407682772843957,0.610295 ± 0.164077
custom_mtl_original,regression,classification_measured,classification,cohen_kappa,5,0.42229070361507226,0.21110036709151841,0.422291 ± 0.211100
custom_mtl_original,regression,classification_measured,classification,mcc,5,0.4587754968200043,0.22254449028573275,0.458775 ± 0.222544
custom_mtl_original,regression,classification_measured,classification,wrong_side_count,5,13.6,4.722287581247038,13.600000 ± 4.722288
custom_mtl_original,regression,classification_measured,classification,wrong_side_rate,5,0.08888888888888888,0.030864624714032927,0.088889 ± 0.030865
custom_mtl_original,regression,classification_measured,classification,np_wrong_side_count,5,11.4,2.8809720581775866,11.400000 ± 2.880972
custom_mtl_original,regression,classification_measured,classification,penetrant_wrong_side_count,5,2.2,2.16794833886788,2.200000 ± 2.167948
custom_mtl_original,regression,classification_only,classification,n_evaluable,5,478.2,0.447213595499958,478.200000 ± 0.447214
custom_mtl_original,regression,classification_only,classification,accuracy,5,0.7013845092198705,0.010752355170166206,0.701385 ± 0.010752
custom_mtl_original,regression,classification_only,classification,balanced_accuracy,5,0.605146807142472,0.013232199011034501,0.605147 ± 0.013232
custom_mtl_original,regression,classification_only,classification,np_recall,5,0.24719868637110015,0.030789770292671714,0.247199 ± 0.030790
custom_mtl_original,regression,classification_only,classification,np_precision,5,0.7996969696969697,0.06322377068052303,0.799697 ± 0.063224
custom_mtl_original,regression,classification_only,classification,np_f1,5,0.376209009186388,0.03380473473692434,0.376209 ± 0.033805
custom_mtl_original,regression,classification_only,classification,penetrant_specificity,5,0.9630949279138441,0.014978420667589894,0.963095 ± 0.014978
custom_mtl_original,regression,classification_only,classification,roc_auc,5,0.7442383994297797,0.01995699548307619,0.744238 ± 0.019957
custom_mtl_original,regression,classification_only,classification,pr_auc_nonpenetrant,5,0.6561947381873814,0.02141310855494468,0.656195 ± 0.021413
custom_mtl_original,regression,classification_only,classification,cohen_kappa,5,0.24609812577885934,0.029240085842294983,0.246098 ± 0.029240
custom_mtl_original,regression,classification_only,classification,mcc,5,0.32009824275458676,0.033132215933765495,0.320098 ± 0.033132
custom_mtl_original,regression,classification_only,classification,wrong_side_count,5,142.8,5.215361924162119,142.800000 ± 5.215362
custom_mtl_original,regression,classification_only,classification,wrong_side_rate,5,0.29861549078012944,0.010752355170166188,0.298615 ± 0.010752
custom_mtl_original,regression,classification_only,classification,np_wrong_side_count,5,131.6,5.683308895353129,131.600000 ± 5.683309
custom_mtl_original,regression,classification_only,classification,penetrant_wrong_side_count,5,11.2,4.54972526643093,11.200000 ± 4.549725
custom_mtl_original,regression,measured_regression,regression,n_evaluable,5,153.0,0.0,153.000000 ± 0.000000
custom_mtl_original,regression,measured_regression,regression,mae,5,0.36315938610431175,0.013835697743893087,0.363159 ± 0.013836
custom_mtl_original,regression,measured_regression,regression,mse,5,0.23537445416809977,0.01590746907945975,0.235374 ± 0.015907
custom_mtl_original,regression,measured_regression,regression,rmse,5,0.48493865988115203,0.016161308763992917,0.484939 ± 0.016161
custom_mtl_original,regression,measured_regression,regression,median_absolute_error,5,0.27163024467250735,0.031095581015293954,0.271630 ± 0.031096
custom_mtl_original,regression,measured_regression,regression,r2,5,0.5677854605051105,0.014158223612486562,0.567785 ± 0.014158
custom_mtl_original,regression,measured_regression,regression,pearson_r,5,0.7569704588857862,0.011298020438311835,0.756970 ± 0.011298
custom_mtl_original,regression,measured_regression,regression,np_mae,5,0.6403780187283175,0.1159670477676134,0.640378 ± 0.115967
custom_mtl_original,regression,measured_regression,regression,penetrant_mae,5,0.32774746941957567,0.015434619511912488,0.327747 ± 0.015435
