model,model_task,evaluation_subset,evaluation_task,n_evaluable,mae,mse,rmse,median_absolute_error,r2,pearson_r,np_mae,penetrant_mae,accuracy,balanced_accuracy,np_recall,np_precision,np_f1,penetrant_specificity,roc_auc,pr_auc_nonpenetrant,cohen_kappa,mcc,wrong_side_count,wrong_side_rate,np_wrong_side_count,penetrant_wrong_side_count
custom_mtl_original,regression,measured_regression,regression,765,0.363159386,0.235374454,0.485154052,0.274064931,0.567737797,0.754334904,0.639378142,0.327715386,,,,,,,,,,,,,,
custom_mtl_original,regression,classification_all,classification,3156,,,,,,,,,0.752217997,0.612729716,0.255983351,0.785942492,0.386185243,0.969476082,0.76857772,0.630599309,0.278187203,0.347125699,782,0.247782003,715,67
custom_mtl_original,regression,classification_measured,classification,765,,,,,,,,,0.911111111,0.664301699,0.344827586,0.731707317,0.46875,0.983775811,0.901146035,0.607696998,0.427004164,0.463217876,68,0.088888889,57,11
custom_mtl_original,regression,classification_only,classification,2391,,,,,,,,,0.701380176,0.605112312,0.247139588,0.794117647,0.376963351,0.963085036,0.74294306,0.651122401,0.24615765,0.318846873,714,0.298619824,658,56
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,mae,mse,pearson_r,r2,np_mae,,,,,,,,,,,,,,,,,,,
,,,0.363,0.235,0.754,0.568,0.639,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,balanced_accuracy,np_recall,np_precision,np_f1,roc_auc,pr_auc_nonpenetrant,cohen_kappa,mcc,wrong_side_count,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.612729716,0.255983351,0.785942492,0.386185243,0.76857772,0.630599309,0.278187203,0.347125699,782,,,,,,,,,,,,,,,
,,,0.664301699,0.344827586,0.731707317,0.46875,0.901146035,0.607696998,0.427004164,0.463217876,68,,,,,,,,,,,,,,,
,,,0.605112312,0.247139588,0.794117647,0.376963351,0.74294306,0.651122401,0.24615765,0.318846873,714,,,,,,,,,,,,,,,
