sample_id,smiles,logBB,bbb_class,has_logbb,outer_fold,outer_stratum,ATSC0c,TopoPSA(NO),nO,ATSC1c,nHBAcc,DPSA4,TopoPSA,SMR_VSA1,PEOE_VSA1,SlogP_VSA2,PNSA3,DPSA3,TPSA
0,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,-2.69,1,True,1,labeled_class_1_logbb_bin_0,1.3205601895728156,141.31,5.0,-0.8691778038323527,7.0,40.69005369062776,149.69,23.425388958082173,10.213054789681411,29.584135582909404,-67.18198024880677,97.43625154299258,229.46163562864604
1,Oc1c(I)cc(Cl)c2cccnc12,-2.4,1,True,2,labeled_class_1_logbb_bin_0,0.4815807101074841,33.120000000000005,1.0,-0.2462402465651954,2.0,20.29723950339804,33.120000000000005,5.106527394840706,5.106527394840706,10.090505915787912,-28.477448733971254,39.928936219001265,53.40414590773539
2,CCN/C(=N\CCSCc1ncccc1Br)NC#N,-2.15,1,True,0,labeled_class_1_logbb_bin_0,0.5686438158192034,73.1,0.0,-0.4068820194720198,4.0,25.046241811857797,98.4,0.0,5.316788604006331,29.785899508262982,-28.26233780462923,48.26940114152252,33.84495164920783
3,CS(=O)(=O)N(CCO)c1c(Cl)c(Cl)cc2[nH]c(=O)c(=O)[nH]c12,-2.15,1,True,0,labeled_class_1_logbb_bin_0,1.0805316192921168,123.33,5.0,-0.6760392895325785,5.0,36.5663559704912,131.71,13.524324379169643,15.07448443673512,42.89968897500095,-60.56543603783411,81.9093208747121,235.48820665083105
4,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,-2.09,1,True,4,labeled_class_1_logbb_bin_0,1.0590316142082867,118.04999999999998,5.0,-0.5854927974527718,6.0,38.552934685942304,118.04999999999998,18.92953635401466,4.417150937053347,34.62987479990967,-57.197611845108426,81.4298573640576,235.50143034685664
5,COc1cccnc1CCCCNc1ncc(Cc2ccc(C)nc2)c(=O)[nH]1,-2.0,1,True,3,labeled_class_1_logbb_bin_0,0.993108426120384,92.79,2.0,-0.5656494223318017,6.0,31.76608870826253,92.79,4.736862953800049,10.05365155780638,33.59046803097894,-31.524782480888604,63.65719792803643,122.26274453464144
6,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@@H]1NCOC,-1.96,1,True,4,labeled_class_1_logbb_bin_0,1.0767003114951468,93.81,4.0,-0.6201672781022781,5.0,26.250885813708315,93.81,19.374790486512627,20.313920779602988,49.2080614053621,-35.89560497801568,61.61473578277223,128.35398959263262
7,Cc1ccc(Cc2cnc(NCCCCc3ncc(Br)cc3C)[nH]c2=O)cn1,-1.9,1,True,4,labeled_class_1_logbb_bin_0,0.7105873704348635,83.56,1.0,-0.4778295681057834,5.0,27.745356129041063,83.56,0.0,5.316788604006331,26.480670489701406,-32.17349007522453,58.62690392359384,110.53759631689424
8,c1ccc(NC2=NCCN2)cc1,-1.89,1,True,2,labeled_class_1_logbb_bin_0,0.4403338206952991,36.42,0.0,-0.331763760422132,3.0,18.40415558852238,36.42,0.0,10.633577208012662,19.049067380568985,-12.537325113017664,31.382047089694133,28.15262789460921
9,Cc1ccc(C[C@H]2CN[C@@H](NCCCCc3ncc(Br)cc3C)NC2=O)cn1,-1.88,1,True,2,labeled_class_1_logbb_bin_0,0.6916938046687053,78.94000000000001,1.0,-0.4093652104157307,5.0,26.75256546591263,78.94000000000001,4.794537184071822,5.316788604006331,35.25435997819217,-31.959197796177563,56.38736359967044,97.14337891933992
10,CN1Cc2c(-c3noc([C@@](C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O,-1.82,1,True,1,labeled_class_1_logbb_bin_0,1.1928709532623496,117.51000000000002,4.0,-0.592403494042163,7.0,35.705811770365514,117.51000000000002,19.53068691072658,19.636059457505237,54.36641814388471,-47.61731436809159,69.66540498265952,148.89231528227617
11,CN1Cc2c(-c3noc(C(C)(CO)CO)n3)ncn2-c2cccc(Cl)c2C1=O,-1.82,1,True,4,labeled_class_1_logbb_bin_0,1.1879220588706312,117.51000000000002,4.0,-0.5589626910732944,7.0,35.91236722222078,117.51000000000002,19.53068691072658,19.636059457505237,60.97330010839762,-45.04368650827721,73.88304006764827,168.50355058849877
12,CN1Cc2c(-c3noc(C(C)(O)O)n3)ncn2-c2cccc(Cl)c2C1=O,-1.82,1,True,0,labeled_class_1_logbb_bin_0,1.184767329333004,117.51000000000002,4.0,-0.6655323446107805,7.0,37.18267439374388,117.51000000000002,19.53068691072658,19.636059457505237,47.75953617937179,-50.09365009266287,73.46949517485294,170.72471952476826
13,CCOC(=O)N1CSC[C@H]1C(=O)O,-1.72,1,True,1,labeled_class_1_logbb_bin_0,1.07066741947302,66.84,4.0,-0.810778592225137,4.0,29.03149620683036,92.14,19.432464716784395,9.843390348640757,46.347347274722466,-35.506823654963675,54.010207973379295,122.78222064588972
14,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,-1.7,1,True,1,labeled_class_1_logbb_bin_0,0.7059079049011833,40.540000000000006,2.0,-0.3863743127280962,2.0,23.517613981569852,40.540000000000006,9.901064578912528,10.006437125691182,35.92535238455838,-47.27263924491787,67.03998217195942,105.68327322860102
15,O=C1c2c(O)cc(O)cc2C[C@@H](c2ccc(O)c(O)c2)[C@H]1O,-1.7,1,True,2,labeled_class_1_logbb_bin_0,1.8203564424261045,118.22,6.0,-0.9867657235025578,6.0,39.43356874685007,118.22,30.327174158275348,25.532636974203527,37.419848308316766,-83.05655285567893,119.17312148437252,265.82962246184377
