cluster_key,cluster_id,cluster_label,algorithmic_medoid,selected_representative,cluster_size_defined,members_json
cluster_1,1,Cluster 1: AATS0Z (n=9),AATS0Z,AATS0Z,9,"[""AATS0Z"", ""MZ"", ""AATS0m"", ""Mm"", ""AMW"", ""AATS1m"", ""AATS1Z"", ""MIC0"", ""IC0""]"
cluster_2,2,Cluster 2: Mare (n=9),Mare,Mare,9,"[""Mare"", ""AATS0pe"", ""AATS0are"", ""Mse"", ""Mpe"", ""AATS0se"", ""AATS1pe"", ""AATS1se"", ""AATS1are""]"
cluster_3,3,Cluster 3: AATS1d (n=2),AATS1d,AATS1d,2,"[""AATS1d"", ""AATS0d""]"
cluster_4,4,Cluster 4: AATS0dv (n=2),AATS0dv,AATS0dv,2,"[""AATS0dv"", ""AATS1dv""]"
cluster_5,5,Cluster 5: AATS0i (n=2),AATS0i,AATS0i,2,"[""AATS0i"", ""Mi""]"
cluster_6,6,Cluster 6: AATS0p (n=3),AATS0p,AATS0p,3,"[""AATS0p"", ""Mp"", ""AATS1p""]"
cluster_7,7,Cluster 7: AATS0v (n=3),AATS0v,AATS0v,3,"[""AATS0v"", ""Mv"", ""AATS1v""]"
cluster_8,8,Cluster 8: AATS1i (n=1),AATS1i,AATS1i,1,"[""AATS1i""]"
cluster_9,9,Cluster 9: AATSC0m (n=2),AATSC0m,AATSC0m,2,"[""AATSC0m"", ""AATSC0Z""]"
cluster_10,10,Cluster 10: AATSC0pe (n=4),AATSC0pe,AATSC0pe,4,"[""AATSC0pe"", ""AATSC0are"", ""AATSC0se"", ""AATSC0dv""]"
cluster_11,11,Cluster 11: AATSC0c (n=2),AATSC0c,AATSC0c,2,"[""AATSC0c"", ""AATSC1c""]"
cluster_12,12,Cluster 12: AATSC0d (n=1),AATSC0d,AATSC0d,1,"[""AATSC0d""]"
cluster_13,13,Cluster 13: AATSC0i (n=1),AATSC0i,AATSC0i,1,"[""AATSC0i""]"
cluster_14,14,Cluster 14: AATSC0p (n=1),AATSC0p,AATSC0p,1,"[""AATSC0p""]"
cluster_15,15,Cluster 15: AATSC0v (n=1),AATSC0v,AATSC0v,1,"[""AATSC0v""]"
cluster_16,16,Cluster 16: ATSC1Z (n=4),ATSC1Z,ATSC1Z,4,"[""ATSC1Z"", ""AATSC1m"", ""AATSC1Z"", ""ATSC1m""]"
cluster_17,17,Cluster 17: AATSC1are (n=4),AATSC1are,AATSC1are,4,"[""AATSC1are"", ""ATSC1pe"", ""AATSC1pe"", ""ATSC1are""]"
cluster_18,18,Cluster 18: ATSC1d (n=2),ATSC1d,ATSC1d,2,"[""ATSC1d"", ""AATSC1d""]"
cluster_19,19,Cluster 19: ATSC1dv (n=2),ATSC1dv,ATSC1dv,2,"[""ATSC1dv"", ""AATSC1dv""]"
cluster_20,20,Cluster 20: ATSC1i (n=2),ATSC1i,ATSC1i,2,"[""ATSC1i"", ""AATSC1i""]"
cluster_21,21,Cluster 21: AATSC1p (n=4),AATSC1p,AATSC1p,4,"[""AATSC1p"", ""AATSC1v"", ""ATSC1v"", ""ATSC1p""]"
cluster_22,22,Cluster 22: ATSC1se (n=2),ATSC1se,ATSC1se,2,"[""ATSC1se"", ""AATSC1se""]"
cluster_23,23,Cluster 23: ATSC0m (n=5),ATSC0m,ATSC0m,5,"[""ATSC0m"", ""ATSC0Z"", ""ATS0Z"", ""ATS0m"", ""ATSC0p""]"
cluster_24,24,Cluster 24: Sv (n=48),Sv,Sv,48,"[""Sv"", ""ATS1pe"", ""Sp"", ""apol"", ""ATS1are"", ""ATS1se"", ""Spe"", ""ATS0se"", ""Sare"", ""ATS0pe"", ""Sse"", ""VMcGowan"", ""ATS0are"", ""nBonds"", ""ATS1i"", ""TIC5"", ""TIC4"", ""nAtom"", ""TIC3"", ""Si"", ""ATS0v"", ""ATS0i"", ""ATS7d"", ""ATS8d"", ""TIC2"", ""ZMIC0"", ""LabuteASA"", ""ATS8v"", ""ATS8pe"", ""ATS8are"", ""SMR"", ""nHeavyAtom"", ""ATS8p"", ""Xp-1d"", ""ATS8se"", ""TIC1"", ""mZagreb2"", ""ATS7v"", ""Xp-1dv"", ""ATSC0v"", ""ATS7p"", ""WPath"", ""ATS8i"", ""ATS0p"", ""TIC0"", ""ECIndex"", ""bpol"", ""ATSC0i""]"
cluster_25,25,Cluster 25: TMWC10 (n=31),TMWC10,TMWC10,31,"[""TMWC10"", ""Zagreb1"", ""MWC02"", ""GRAVH"", ""Xp-2d"", ""SRW04"", ""MPC2"", ""ATS0d"", ""MWC01"", ""nBondsO"", ""SRW02"", ""Zagreb2"", ""MWC03"", ""GRAV"", ""ATS2Z"", ""Xp-3d"", ""SZ"", ""GRAVHp"", ""MW"", ""Sm"", ""ATS1Z"", ""ATS1d"", ""ATS2m"", ""ATS3Z"", ""ATS1m"", ""GRAVp"", ""ATS3m"", ""ATS4Z"", ""ATSC0d"", ""ATS4m"", ""Xp-2dv""]"
cluster_26,26,Cluster 26: ATS5dv (n=16),ATS5dv,ATS5dv,16,"[""ATS5dv"", ""ATS6dv"", ""ATS4dv"", ""ATS2dv"", ""ATS3dv"", ""piPC1"", ""ATS5m"", ""ATS6m"", ""ATS1dv"", ""ATS6Z"", ""ATS5Z"", ""BertzCT"", ""piPC2"", ""ATS0dv"", ""GGI6"", ""GGI5""]"
cluster_27,27,Cluster 27: ATS5pe (n=46),ATS5pe,ATS5pe,46,"[""ATS5pe"", ""ATS5are"", ""ATS3pe"", ""ATS5se"", ""ATS3are"", ""ATS2se"", ""ATS4pe"", ""ATS2pe"", ""ATS3se"", ""ATS4are"", ""ATS6pe"", ""ATS2are"", ""ATS6se"", ""ATS6are"", ""ATS4se"", ""ATS5d"", ""ATS4d"", ""ATS3v"", ""ATS3p"", ""ATS6d"", ""ATS2i"", ""ATS6i"", ""ATS5i"", ""ATS4p"", ""nBondsKS"", ""ATS4v"", ""ATS2v"", ""ATS2p"", ""ATS5p"", ""ATS3d"", ""ATS2d"", ""ATS3i"", ""ATS4i"", ""ATS7se"", ""ATS5v"", ""ATS7i"", ""ATS7are"", ""ATS7pe"", ""ATS1p"", ""ATS1v"", ""ATS6p"", ""ATS6v"", ""nC"", ""nBondsS"", ""CIC0"", ""nH""]"
cluster_28,28,Cluster 28: ATS8Z (n=9),ATS8Z,ATS8Z,9,"[""ATS8Z"", ""ATS8m"", ""ATS7m"", ""ATS7Z"", ""ATS7dv"", ""ATS8dv"", ""GGI7"", ""GGI8"", ""ATSC0dv""]"
cluster_29,29,Cluster 29: ATSC0pe (n=3),ATSC0pe,ATSC0pe,3,"[""ATSC0pe"", ""ATSC0are"", ""ATSC0se""]"
cluster_30,30,Cluster 30: ATSC0c (n=3),ATSC0c,ATSC0c,3,"[""ATSC0c"", ""DPSA4"", ""ATSC1c""]"
cluster_31,31,Cluster 31: ATSC2m (n=2),ATSC2m,ATSC2m,2,"[""ATSC2m"", ""ATSC2Z""]"
cluster_32,32,Cluster 32: ATSC2are (n=3),ATSC2are,ATSC2are,3,"[""ATSC2are"", ""ATSC2pe"", ""ATSC2se""]"
cluster_33,33,Cluster 33: ATSC2c (n=1),ATSC2c,ATSC2c,1,"[""ATSC2c""]"
cluster_34,34,Cluster 34: ATSC2d (n=1),ATSC2d,ATSC2d,1,"[""ATSC2d""]"
cluster_35,35,Cluster 35: ATSC2dv (n=1),ATSC2dv,ATSC2dv,1,"[""ATSC2dv""]"
cluster_36,36,Cluster 36: ATSC2i (n=1),ATSC2i,ATSC2i,1,"[""ATSC2i""]"
cluster_37,37,Cluster 37: ATSC2v (n=2),ATSC2v,ATSC2v,2,"[""ATSC2v"", ""ATSC2p""]"
