model,cluster_key,cluster_id,cluster_label,algorithmic_medoid,selected_representative,cluster_size_defined,members_defined_json,n_outer_folds,n_oof_compounds,pooled_oof_mean_abs_group_shap,fold_mean_mean_abs_group_shap,fold_sd_mean_abs_group_shap,fold_mean_normalized_group_shap,fold_sd_normalized_group_shap,pooled_oof_mean_signed_group_shap,fold_mean_cancellation_fraction,minimum_fold_mean_abs_group_shap,maximum_fold_mean_abs_group_shap,fraction_folds_positive_mean_signed,minimum_cluster_size_used_by_model,maximum_cluster_size_used_by_model,raw_importance_rank_within_model,normalized_importance_rank_within_model
custom_mtl_original,cluster_2338,2338,Cluster 2338: TopoPSA (n=4),TopoPSA,TopoPSA,4,"[""TopoPSA"", ""TopoPSA(NO)"", ""nHetero"", ""nHBAcc""]",5,3156,0.258796598498648,0.25879622337265645,0.03665434352677165,0.1760570480469379,0.03796843692558927,0.00576992110892298,0.07112381486719477,0.21378154608463606,0.3152070541683475,0.6,4,4,1,1
custom_mtl_original,cluster_2314,2314,Cluster 2314: RPSA (n=3),RPSA,RPSA,3,"[""RPSA"", ""RASA"", ""TPSA""]",5,3156,0.08992387537406621,0.0899218992814484,0.027714336470694417,0.06033259707242089,0.017833823181306562,-0.004263612302483355,0.14006404312881462,0.05641571514090387,0.13227267359581896,0.2,3,3,2,2
custom_mtl_original,cluster_2149,2149,Cluster 2149: WNSA4 (n=4),WNSA4,WNSA4,4,"[""WNSA4"", ""FNSA2"", ""PNSA4"", ""PNSA1""]",5,3156,0.03760082114330092,0.03759605334565727,0.012579153707498424,0.02521530063469495,0.008553829641352801,0.007571668662856688,0.1312042176428954,0.02056033029373827,0.05264322270898426,1.0,4,4,3,3
custom_mtl_original,cluster_2379,2379,Cluster 2379: nAcid (n=1),nAcid,nAcid,1,"[""nAcid""]",5,3156,0.03470505060159826,0.03470496375399991,0.01471246206447596,0.02307557304408728,0.009415924084408656,-0.0005642797843269404,0.0,0.011027709143041598,0.0514907633046052,0.6,1,1,4,4
custom_mtl_original,cluster_2308,2308,Cluster 2308: PEOE_VSA6 (n=1),PEOE_VSA6,PEOE_VSA6,1,"[""PEOE_VSA6""]",5,3156,0.031797977056562475,0.031802859962802174,0.0117975860851373,0.02094511049842055,0.006028846878440255,-0.000418135654979975,0.0,0.016392407870316438,0.04740796873332047,0.2,1,1,5,5
custom_mtl_original,cluster_2319,2319,Cluster 2319: SLogP (n=1),SLogP,SLogP,1,"[""SLogP""]",5,3156,0.025562190432727262,0.02556446684128729,0.008258023051609607,0.017020577570452076,0.004755856615706325,0.00022734806070100758,0.0,0.018380121425843277,0.03890511314128486,0.8,1,1,6,6
custom_mtl_original,cluster_2316,2316,Cluster 2316: RNCS (n=1),RNCS,RNCS,1,"[""RNCS""]",5,3156,0.022618784735265452,0.02262429802350686,0.013613707156350194,0.014634602372777625,0.0074850726889598065,-1.8384779958061595e-05,0.0,0.005224360333613731,0.04164951447657014,0.8,1,1,7,8
custom_mtl_original,cluster_26,26,Cluster 26: ATS5dv (n=16),ATS5dv,ATS5dv,16,"[""ATS5dv"", ""ATS6dv"", ""ATS4dv"", ""ATS2dv"", ""ATS3dv"", ""piPC1"", ""ATS5m"", ""ATS6m"", ""ATS1dv"", ""ATS6Z"", ""ATS5Z"", ""BertzCT"", ""piPC2"", ""ATS0dv"", ""GGI6"", ""GGI5""]",5,3156,0.021356960371321714,0.021355364398325312,0.00786563169100652,0.014767545741762427,0.006229845657483903,0.0028970884526791324,0.37243517322738456,0.010279289380013634,0.0304027747119472,0.8,16,16,8,7
custom_mtl_original,cluster_2203,2203,Cluster 2203: NdO (n=4),NdO,NdO,4,"[""NdO"", ""SdO"", ""nBondsD"", ""MACCS_136""]",5,3156,0.018518399726848624,0.018518004117938577,0.003492661534750666,0.012481035480443704,0.0024141780092975674,-0.0007270984410305951,0.07224577004222447,0.014564877391039587,0.023828475385219275,0.4,4,4,9,9
custom_mtl_original,cluster_30,30,Cluster 30: ATSC0c (n=3),ATSC0c,ATSC0c,3,"[""ATSC0c"", ""DPSA4"", ""ATSC1c""]",5,3156,0.017832631249369284,0.017833675917795118,0.0071231811351658795,0.012131101717846276,0.004936946330140764,0.0011213838558430552,0.1563880689958183,0.010797904878579675,0.028049510714017456,0.8,3,3,10,10
custom_mtl_original,cluster_2298,2298,Cluster 2298: PBF (n=1),PBF,PBF,1,"[""PBF""]",5,3156,0.01730479923868095,0.017307381878074034,0.0069074845314612415,0.01145140977037599,0.004103876395436783,-0.0001801888538635717,0.0,0.009156571953503787,0.024449406096077046,0.4,1,1,11,11
custom_mtl_original,cluster_32,32,Cluster 32: ATSC2are (n=3),ATSC2are,ATSC2are,3,"[""ATSC2are"", ""ATSC2pe"", ""ATSC2se""]",5,3156,0.017025143974867016,0.017028505032383557,0.009207338323827611,0.011113945091959187,0.005128684062626211,0.0011233140981274908,0.07986275846302612,0.00642100751019043,0.030122918233787432,0.8,3,3,12,12
custom_mtl_original,cluster_11,11,Cluster 11: AATSC0c (n=2),AATSC0c,AATSC0c,2,"[""AATSC0c"", ""AATSC1c""]",5,3156,0.01616077778005171,0.016151733429500457,0.018593624131832697,0.010802106367942453,0.012967074466751594,-0.0021236914823141964,0.05963267806821153,0.0014404492918316698,0.04469570376925302,0.2,2,2,13,13
custom_mtl_original,cluster_84,84,Cluster 84: SIC4 (n=6),SIC4,SIC4,6,"[""SIC4"", ""SIC5"", ""CIC4"", ""CIC5"", ""BIC5"", ""BIC4""]",5,3156,0.015437947945936562,0.015438692099660544,0.006641892469520789,0.0104327688440144,0.004852804271384378,0.003059790419206359,0.17996055252447887,0.00965495527487171,0.025860083030714187,1.0,6,6,14,14
custom_mtl_original,cluster_2350,2350,Cluster 2350: Xch-6dv (n=4),Xch-6dv,Xch-6dv,4,"[""Xch-6dv"", ""Xch-7d"", ""Xch-7dv"", ""Xch-6d""]",5,3156,0.014666051910867367,0.014665333367579183,0.008432266385716144,0.009834520307337113,0.005888791237286108,-0.0017096285916430973,0.1852808055457756,0.0034112200242594386,0.02437006731754521,0.2,4,4,15,15
custom_mtl_original,cluster_2391,2391,Cluster 2391: nRot (n=1),nRot,nRot,1,"[""nRot""]",5,3156,0.014097126873063618,0.014094477027701493,0.005798723668247968,0.009696802805595381,0.0045260178542241,0.0010653846331460546,0.0,0.008711655087679607,0.02245738899056843,0.6,1,1,16,16
custom_mtl_original,cluster_10,10,Cluster 10: AATSC0pe (n=4),AATSC0pe,AATSC0pe,4,"[""AATSC0pe"", ""AATSC0are"", ""AATSC0se"", ""AATSC0dv""]",5,3156,0.0139371240389677,0.013937779362372737,0.008467499873502475,0.009488155736994021,0.00611504786922166,-0.0023041362043604097,0.25642375987729177,0.0039010509663575015,0.024733910430434304,0.2,4,4,17,17
