model,cluster_key,cluster_id,cluster_label,algorithmic_medoid,selected_representative,cluster_size_defined,members_defined_json,n_outer_folds,n_oof_compounds,pooled_oof_mean_abs_group_shap,fold_mean_mean_abs_group_shap,fold_sd_mean_abs_group_shap,fold_mean_normalized_group_shap,fold_sd_normalized_group_shap,pooled_oof_mean_signed_group_shap,fold_mean_cancellation_fraction,minimum_fold_mean_abs_group_shap,maximum_fold_mean_abs_group_shap,fraction_folds_positive_mean_signed,minimum_cluster_size_used_by_model,maximum_cluster_size_used_by_model,raw_importance_rank_within_model,normalized_importance_rank_within_model
lightgbm_mse_regression,cluster_2338,2338,Cluster 2338: TopoPSA (n=4),TopoPSA,TopoPSA,4,"[""TopoPSA"", ""TopoPSA(NO)"", ""nHetero"", ""nHBAcc""]",5,3156,0.26330471304074415,0.263312004379075,0.030086919329349267,0.17382947030480383,0.015898261440654773,-0.06039729335114013,0.035963929918653825,0.23791822382967331,0.30896539873529283,0.0,4,4,1,1
lightgbm_mse_regression,cluster_2314,2314,Cluster 2314: RPSA (n=3),RPSA,RPSA,3,"[""RPSA"", ""RASA"", ""TPSA""]",5,3156,0.0884121238113224,0.08840983920392717,0.03481402287024247,0.059043314477734185,0.02474334939720763,-0.028515052268613467,0.1617142927959748,0.055205126308170774,0.14498020599424785,0.0,3,3,2,2
lightgbm_mse_regression,cluster_2149,2149,Cluster 2149: WNSA4 (n=4),WNSA4,WNSA4,4,"[""WNSA4"", ""FNSA2"", ""PNSA4"", ""PNSA1""]",5,3156,0.028878805593935738,0.028873822407795402,0.009900178930226959,0.019320939012000646,0.007546060570186997,-0.006417422021375282,0.1467766133878748,0.017963179056033313,0.044600757866701,0.0,4,4,3,3
lightgbm_mse_regression,cluster_33,33,Cluster 33: ATSC2c (n=1),ATSC2c,ATSC2c,1,"[""ATSC2c""]",5,3156,0.02515840399797445,0.025155969448037184,0.005777937092634423,0.016713698478157107,0.004344433899214319,0.0002626289865022323,0.0,0.01876156725469265,0.03283940905004727,0.8,1,1,4,4
lightgbm_mse_regression,cluster_2308,2308,Cluster 2308: PEOE_VSA6 (n=1),PEOE_VSA6,PEOE_VSA6,1,"[""PEOE_VSA6""]",5,3156,0.024472173241680214,0.02447559686113323,0.008973776322834583,0.01598932450422488,0.005237071545827667,0.0020391001326474562,0.0,0.013670653867413503,0.035419345660982725,1.0,1,1,5,5
lightgbm_mse_regression,cluster_11,11,Cluster 11: AATSC0c (n=2),AATSC0c,AATSC0c,2,"[""AATSC0c"", ""AATSC1c""]",5,3156,0.020579592877652614,0.020571024775996843,0.022998936308241208,0.013704679456794206,0.01548115501635701,-0.003562463893497867,0.13091062948651233,0.0024121276812810637,0.047611953601620335,0.4,2,2,6,6
lightgbm_mse_regression,cluster_10,10,Cluster 10: AATSC0pe (n=4),AATSC0pe,AATSC0pe,4,"[""AATSC0pe"", ""AATSC0are"", ""AATSC0se"", ""AATSC0dv""]",5,3156,0.019559727147390273,0.019561727471548246,0.014184368810075277,0.012917893643742687,0.009170196720415665,-0.006557281866831174,0.2516774553016445,0.009169261946282035,0.044386399345809034,0.0,4,4,7,7
lightgbm_mse_regression,cluster_26,26,Cluster 26: ATS5dv (n=16),ATS5dv,ATS5dv,16,"[""ATS5dv"", ""ATS6dv"", ""ATS4dv"", ""ATS2dv"", ""ATS3dv"", ""piPC1"", ""ATS5m"", ""ATS6m"", ""ATS1dv"", ""ATS6Z"", ""ATS5Z"", ""BertzCT"", ""piPC2"", ""ATS0dv"", ""GGI6"", ""GGI5""]",5,3156,0.018946911185501757,0.018947921941358102,0.007665891023033577,0.012563036165312838,0.004996176532800653,0.0043159644370935,0.42767679611041604,0.008495760831090172,0.027396700205945288,0.8,16,16,8,8
lightgbm_mse_regression,cluster_2379,2379,Cluster 2379: nAcid (n=1),nAcid,nAcid,1,"[""nAcid""]",5,3156,0.01808191214220394,0.018079730625187508,0.005765576371044675,0.011995728461213986,0.004022307780606017,-0.0031025775259670295,0.0,0.01197582149999162,0.024964598329039446,0.0,1,1,9,9
lightgbm_mse_regression,cluster_2319,2319,Cluster 2319: SLogP (n=1),SLogP,SLogP,1,"[""SLogP""]",5,3156,0.016957657199302603,0.0169590562131298,0.005407176499039359,0.01120092998277614,0.003573125098923421,0.0006647370804455862,0.0,0.012543768574513175,0.025246013635874462,0.6,1,1,10,10
