model,outer_fold,n_test_compounds,n_features_used,n_groups_used,max_abs_feature_shap_additivity_error,mean_abs_feature_shap_additivity_error,max_abs_grouped_shap_additivity_error,mean_abs_grouped_shap_additivity_error
lightgbm_mse_regression,0,632,2720,2205,5.773159728050814e-15,7.363371491881111e-16,5.773159728050814e-15,7.354306738274444e-16
lightgbm_mse_regression,1,631,2728,2214,4.440892098500626e-15,7.06436582061655e-16,4.440892098500626e-15,7.061121805241506e-16
lightgbm_mse_regression,2,631,2718,2207,5.10702591327572e-15,6.35325892171649e-16,5.551115123125783e-15,6.436586130205963e-16
lightgbm_mse_regression,3,631,2728,2213,2.4424906541753444e-15,4.1604720554639355e-16,2.886579864025407e-15,4.2210086813609394e-16
lightgbm_mse_regression,4,631,2731,2219,3.3306690738754696e-15,4.083816728172183e-16,3.1086244689504383e-15,4.094263557346053e-16
custom_mtl_original,0,632,2926,2392,3.774758283725532e-15,6.43855089864795e-16,3.9968028886505635e-15,6.473245368167486e-16
custom_mtl_original,1,631,2926,2392,6.217248937900877e-15,7.02758885817617e-16,5.995204332975845e-15,7.040702377954948e-16
custom_mtl_original,2,631,2926,2392,3.774758283725532e-15,5.54965462891562e-16,3.552713678800501e-15,5.553118577536429e-16
custom_mtl_original,3,631,2926,2392,5.995204332975845e-15,5.361804145376008e-16,5.773159728050814e-15,5.311219498849902e-16
custom_mtl_original,4,631,2926,2392,4.6629367034256575e-15,1.0144503435909188e-15,4.6629367034256575e-15,1.0109644016455326e-15
