scope,cluster_id,cluster_size,algorithmic_medoid,selected_representative,representative_source,mean_pairwise_abs_correlation,minimum_pairwise_abs_correlation,maximum_pairwise_abs_correlation,members_json,medoid_candidate_order_json
final,1,9,AATS0Z,AATS0Z,algorithmic_medoid,0.9236377216366749,0.8317096992409428,0.9999889174453481,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AMW"", ""IC0"", ""MIC0"", ""MZ"", ""Mm""]","[""AATS0Z"", ""MZ"", ""AATS0m"", ""Mm"", ""AMW"", ""AATS1m"", ""AATS1Z"", ""MIC0"", ""IC0""]"
final,2,9,Mare,Mare,algorithmic_medoid,0.9618699256345459,0.9050126959872241,0.9988431187918994,"[""AATS0are"", ""AATS0pe"", ""AATS0se"", ""AATS1are"", ""AATS1pe"", ""AATS1se"", ""Mare"", ""Mpe"", ""Mse""]","[""Mare"", ""AATS0pe"", ""AATS0are"", ""Mse"", ""Mpe"", ""AATS0se"", ""AATS1pe"", ""AATS1se"", ""AATS1are""]"
final,3,2,AATS1d,AATS1d,algorithmic_medoid,0.9618051559227575,0.9618051559227575,0.9618051559227575,"[""AATS0d"", ""AATS1d""]","[""AATS1d"", ""AATS0d""]"
final,4,2,AATS0dv,AATS0dv,algorithmic_medoid,0.9114534297441471,0.9114534297441471,0.9114534297441471,"[""AATS0dv"", ""AATS1dv""]","[""AATS0dv"", ""AATS1dv""]"
final,5,2,AATS0i,AATS0i,algorithmic_medoid,0.9978389606121612,0.9978389606121612,0.9978389606121612,"[""AATS0i"", ""Mi""]","[""AATS0i"", ""Mi""]"
final,6,3,AATS0p,AATS0p,algorithmic_medoid,0.9325978967835514,0.9034837699786884,0.9775371805928269,"[""AATS0p"", ""AATS1p"", ""Mp""]","[""AATS0p"", ""Mp"", ""AATS1p""]"
final,7,3,AATS0v,AATS0v,algorithmic_medoid,0.9636647283411987,0.9442445384951719,0.9908071892375558,"[""AATS0v"", ""AATS1v"", ""Mv""]","[""AATS0v"", ""Mv"", ""AATS1v""]"
final,8,1,AATS1i,AATS1i,algorithmic_medoid,1.0,1.0,1.0,"[""AATS1i""]","[""AATS1i""]"
final,9,2,AATSC0m,AATSC0m,algorithmic_medoid,0.9989454667875792,0.9989454667875792,0.9989454667875792,"[""AATSC0Z"", ""AATSC0m""]","[""AATSC0m"", ""AATSC0Z""]"
final,10,4,AATSC0pe,AATSC0pe,algorithmic_medoid,0.9357661858506678,0.8714976784608528,0.9911490666207302,"[""AATSC0are"", ""AATSC0dv"", ""AATSC0pe"", ""AATSC0se""]","[""AATSC0pe"", ""AATSC0are"", ""AATSC0se"", ""AATSC0dv""]"
