feature,n_nonmissing,missing_fraction,n_unique_nonmissing,status
ECFP_0,3156,0.0,2,included
ECFP_1,3156,0.0,2,included
ECFP_2,3156,0.0,2,included
ECFP_3,3156,0.0,2,included
ECFP_4,3156,0.0,2,included
ECFP_5,3156,0.0,2,included
ECFP_6,3156,0.0,2,included
ECFP_7,3156,0.0,2,included
ECFP_8,3156,0.0,2,included
ECFP_9,3156,0.0,2,included
ECFP_10,3156,0.0,2,included
ECFP_11,3156,0.0,2,included
ECFP_12,3156,0.0,2,included
ECFP_13,3156,0.0,2,included
ECFP_14,3156,0.0,2,included
ECFP_15,3156,0.0,2,included
ECFP_16,3156,0.0,2,included
ECFP_17,3156,0.0,2,included
ECFP_18,3156,0.0,2,included
ECFP_19,3156,0.0,2,included
ECFP_20,3156,0.0,2,included
ECFP_21,3156,0.0,2,included
ECFP_22,3156,0.0,2,included
ECFP_23,3156,0.0,2,included
ECFP_24,3156,0.0,2,included
ECFP_25,3156,0.0,2,included
ECFP_26,3156,0.0,2,included
ECFP_27,3156,0.0,2,included
ECFP_28,3156,0.0,2,included
ECFP_29,3156,0.0,2,included
ECFP_30,3156,0.0,2,included
ECFP_31,3156,0.0,2,included
ECFP_32,3156,0.0,2,included
ECFP_33,3156,0.0,2,included
ECFP_34,3156,0.0,2,included
ECFP_35,3156,0.0,2,included
ECFP_36,3156,0.0,2,included
ECFP_37,3156,0.0,2,included
ECFP_38,3156,0.0,2,included
ECFP_39,3156,0.0,2,included
ECFP_40,3156,0.0,2,included
ECFP_41,3156,0.0,2,included
ECFP_42,3156,0.0,2,included
ECFP_43,3156,0.0,2,included
ECFP_44,3156,0.0,2,included
ECFP_45,3156,0.0,2,included
ECFP_46,3156,0.0,2,included
ECFP_47,3156,0.0,2,included
ECFP_48,3156,0.0,2,included
ECFP_49,3156,0.0,2,included
ECFP_50,3156,0.0,2,included
ECFP_51,3156,0.0,2,included
ECFP_52,3156,0.0,2,included
ECFP_53,3156,0.0,2,included
ECFP_54,3156,0.0,2,included
ECFP_55,3156,0.0,2,included
ECFP_56,3156,0.0,2,included
ECFP_57,3156,0.0,2,included
ECFP_58,3156,0.0,2,included
ECFP_59,3156,0.0,2,included
ECFP_60,3156,0.0,2,included
ECFP_61,3156,0.0,2,included
ECFP_62,3156,0.0,2,included
ECFP_63,3156,0.0,2,included
ECFP_64,3156,0.0,2,included
ECFP_65,3156,0.0,2,included
ECFP_66,3156,0.0,2,included
ECFP_67,3156,0.0,2,included
ECFP_68,3156,0.0,2,included
ECFP_69,3156,0.0,2,included
ECFP_70,3156,0.0,2,included
ECFP_71,3156,0.0,2,included
ECFP_72,3156,0.0,2,included
ECFP_73,3156,0.0,2,included
ECFP_74,3156,0.0,2,included
ECFP_75,3156,0.0,2,included
ECFP_76,3156,0.0,2,included
ECFP_77,3156,0.0,2,included
ECFP_78,3156,0.0,2,included
ECFP_79,3156,0.0,2,included
