scope,cluster_id,cluster_size,medoid_candidate_rank,feature,mean_distance_to_cluster,mean_abs_correlation_to_cluster,min_abs_correlation_to_cluster,max_abs_correlation_to_cluster,missing_fraction,n_nonmissing,variance_after_imputation,algorithmic_medoid,selected_representative,is_algorithmic_medoid,is_selected_representative,members_json
final,1,9,1,AATS0Z,0.055995177021838316,0.9440048229781617,0.8345965617070924,0.9996801175647244,0.0,3156,745.3871462640765,AATS0Z,AATS0Z,True,True,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AMW"", ""IC0"", ""MIC0"", ""MZ"", ""Mm""]"
final,1,9,2,MZ,0.05601433058818839,0.9439856694118116,0.8370360877919635,0.9996920260010791,0.0,3156,0.024239209023722952,AATS0Z,AATS0Z,False,False,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AMW"", ""IC0"", ""MIC0"", ""MZ"", ""Mm""]"
final,1,9,3,AATS0m,0.05766904580374432,0.9423309541962557,0.8324335937518528,0.9996801175647244,0.0,3156,20776.440772743732,AATS0Z,AATS0Z,False,False,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AMW"", ""IC0"", ""MIC0"", ""MZ"", ""Mm""]"
final,1,9,4,Mm,0.05863975757624973,0.9413602424237503,0.8317096992409428,0.9999889174453481,0.0,3156,0.030255893588316575,AATS0Z,AATS0Z,False,False,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AMW"", ""IC0"", ""MIC0"", ""MZ"", ""Mm""]"
final,1,9,5,AMW,0.058820214571009055,0.941179785428991,0.8320460032914528,0.9999889174453481,0.0,3156,4.293835151557806,AATS0Z,AATS0Z,False,False,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AMW"", ""IC0"", ""MIC0"", ""MZ"", ""Mm""]"
final,1,9,6,AATS1m,0.0644901797139723,0.9355098202860277,0.8321977158716681,0.9995145395646793,0.0,3156,951.7365533032644,AATS0Z,AATS0Z,False,False,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AMW"", ""IC0"", ""MIC0"", ""MZ"", ""Mm""]"
final,1,9,7,AATS1Z,0.06541453920603779,0.9345854607939622,0.8365927577769628,0.9995145395646793,0.0,3156,49.53950345593068,AATS0Z,AATS0Z,False,False,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AMW"", ""IC0"", ""MIC0"", ""MZ"", ""Mm""]"
final,1,9,8,MIC0,0.11541127680246055,0.8845887231975395,0.8543329234655902,0.9278096170861939,0.0,3156,32.84428135258832,AATS0Z,AATS0Z,False,False,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AMW"", ""IC0"", ""MIC0"", ""MZ"", ""Mm""]"
final,1,9,9,IC0,0.15480598398642398,0.845194016013576,0.8317096992409428,0.9249397086766732,0.0,3156,0.04556018849650918,AATS0Z,AATS0Z,False,False,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AMW"", ""IC0"", ""MIC0"", ""MZ"", ""Mm""]"
final,2,9,1,Mare,0.026324348438609868,0.9736756515613901,0.9405863821724539,0.9972783004659178,0.0,3156,0.0013183292444498744,Mare,Mare,True,True,"[""AATS0are"", ""AATS0pe"", ""AATS0se"", ""AATS1are"", ""AATS1pe"", ""AATS1se"", ""Mare"", ""Mpe"", ""Mse""]"
final,2,9,2,AATS0pe,0.02891190491649631,0.9710880950835037,0.9208732823774715,0.9977551498242156,0.0,3156,0.28004506923648675,Mare,Mare,False,False,"[""AATS0are"", ""AATS0pe"", ""AATS0se"", ""AATS1are"", ""AATS1pe"", ""AATS1se"", ""Mare"", ""Mpe"", ""Mse""]"
final,2,9,3,AATS0are,0.030474650306558382,0.9695253496934416,0.9329674491768611,0.9972783004659178,0.0,3156,0.29935097237608294,Mare,Mare,False,False,"[""AATS0are"", ""AATS0pe"", ""AATS0se"", ""AATS1are"", ""AATS1pe"", ""AATS1se"", ""Mare"", ""Mpe"", ""Mse""]"
final,2,9,4,Mse,0.03128539279359277,0.9687146072064072,0.9136355489521578,0.9988431187918994,0.0,3156,0.0007498580158690372,Mare,Mare,False,False,"[""AATS0are"", ""AATS0pe"", ""AATS0se"", ""AATS1are"", ""AATS1pe"", ""AATS1se"", ""Mare"", ""Mpe"", ""Mse""]"
final,2,9,5,Mpe,0.03133976112971215,0.9686602388702878,0.9230625253765445,0.9977551498242156,0.0,3156,0.0012384191952247475,Mare,Mare,False,False,"[""AATS0are"", ""AATS0pe"", ""AATS0se"", ""AATS1are"", ""AATS1pe"", ""AATS1se"", ""Mare"", ""Mpe"", ""Mse""]"
