scope,cluster_id,cluster_size,feature,algorithmic_medoid,selected_representative,representative_source,is_algorithmic_medoid,is_selected_representative,medoid_candidate_rank,mean_distance_to_cluster,mean_abs_correlation_to_cluster,min_abs_correlation_to_cluster,max_abs_correlation_to_cluster,missing_fraction,n_nonmissing,variance_after_imputation,members_json
final,1,9,MZ,MZ,MZ,algorithmic_medoid,True,True,1,0.027662242733936804,0.9723377572660632,0.9559796885315653,0.9995117614324893,0.0,860,0.134271054653027,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AATS2Z"", ""AATS2m"", ""AMW"", ""MZ"", ""Mm""]"
final,1,9,Mm,MZ,MZ,algorithmic_medoid,False,False,2,0.028191918981267383,0.9718080810187326,0.9554713128917387,0.9999873076923784,0.0,860,0.19537218574924323,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AATS2Z"", ""AATS2m"", ""AMW"", ""MZ"", ""Mm""]"
final,1,9,AMW,MZ,MZ,algorithmic_medoid,False,False,3,0.028262240654502335,0.9717377593454977,0.9549144835439363,0.9999873076923784,0.0,860,28.367372368939233,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AATS2Z"", ""AATS2m"", ""AMW"", ""MZ"", ""Mm""]"
final,1,9,AATS1m,MZ,MZ,algorithmic_medoid,False,False,4,0.036399521311079264,0.9636004786889207,0.9368160853561345,0.9990577222342865,0.004651162790697674,856,691.1712204922983,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AATS2Z"", ""AATS2m"", ""AMW"", ""MZ"", ""Mm""]"
final,1,9,AATS1Z,MZ,MZ,algorithmic_medoid,False,False,5,0.037489553423498356,0.9625104465765016,0.9362215805098956,0.9990577222342865,0.004651162790697674,856,38.45778910600497,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AATS2Z"", ""AATS2m"", ""AMW"", ""MZ"", ""Mm""]"
final,1,9,AATS2Z,MZ,MZ,algorithmic_medoid,False,False,6,0.03947211650846849,0.9605278834915315,0.917989561320926,0.9988952411731471,0.005813953488372093,855,40.545051230090706,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AATS2Z"", ""AATS2m"", ""AMW"", ""MZ"", ""Mm""]"
final,1,9,AATS2m,MZ,MZ,algorithmic_medoid,False,False,7,0.04155998383521231,0.9584400161647877,0.9161968379615155,0.9988952411731471,0.005813953488372093,855,733.1961808276089,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AATS2Z"", ""AATS2m"", ""AMW"", ""MZ"", ""Mm""]"
final,1,9,AATS0Z,MZ,MZ,algorithmic_medoid,False,False,8,0.05079710846702212,0.9492028915329779,0.9190545503502835,0.9994254783750923,0.0,860,11959.62509140824,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AATS2Z"", ""AATS2m"", ""AMW"", ""MZ"", ""Mm""]"
final,1,9,AATS0m,MZ,MZ,algorithmic_medoid,False,False,9,0.05337312143864947,0.9466268785613505,0.9161968379615155,0.9994254783750923,0.0,860,407341.00563551765,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AATS2Z"", ""AATS2m"", ""AMW"", ""MZ"", ""Mm""]"
final,2,18,Mare,Mare,Mare,algorithmic_medoid,True,True,1,0.03814748016337499,0.961852519836625,0.9093545335654327,0.9981037144217243,0.004651162790697674,856,0.0017458452501829035,"[""AATS0are"", ""AATS0pe"", ""AATS0se"", ""AATS1are"", ""AATS1pe"", ""AATS1se"", ""AATS2are"", ""AATS2pe"", ""AATS2se"", ""AATS3are"", ""AATS3pe"", ""AATS3s"", ""AATS3se"", ""ETA_dEpsilon_A"", ""ETA_epsilon_1"", ""Mare"", ""Mpe"", ""Mse""]"
final,2,18,AATS0are,Mare,Mare,algorithmic_medoid,False,False,2,0.040717178198513726,0.9592828218014863,0.9123343061413616,0.9981037144217243,0.004651162790697674,856,0.3534399737078898,"[""AATS0are"", ""AATS0pe"", ""AATS0se"", ""AATS1are"", ""AATS1pe"", ""AATS1se"", ""AATS2are"", ""AATS2pe"", ""AATS2se"", ""AATS3are"", ""AATS3pe"", ""AATS3s"", ""AATS3se"", ""ETA_dEpsilon_A"", ""ETA_epsilon_1"", ""Mare"", ""Mpe"", ""Mse""]"
