scope,cluster_id,cluster_size,algorithmic_medoid,selected_representative,representative_source,mean_pairwise_abs_correlation,minimum_pairwise_abs_correlation,maximum_pairwise_abs_correlation,members_json,medoid_candidate_order_json
final,1,9,MZ,MZ,algorithmic_medoid,0.9618657991829294,0.9161968379615155,0.9999873076923784,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AATS2Z"", ""AATS2m"", ""AMW"", ""MZ"", ""Mm""]","[""MZ"", ""Mm"", ""AMW"", ""AATS1m"", ""AATS1Z"", ""AATS2Z"", ""AATS2m"", ""AATS0Z"", ""AATS0m""]"
final,2,18,Mare,Mare,algorithmic_medoid,0.9436187296539049,0.8598521106989873,0.9991827633971676,"[""AATS0are"", ""AATS0pe"", ""AATS0se"", ""AATS1are"", ""AATS1pe"", ""AATS1se"", ""AATS2are"", ""AATS2pe"", ""AATS2se"", ""AATS3are"", ""AATS3pe"", ""AATS3s"", ""AATS3se"", ""ETA_dEpsilon_A"", ""ETA_epsilon_1"", ""Mare"", ""Mpe"", ""Mse""]","[""Mare"", ""AATS0are"", ""Mse"", ""AATS0pe"", ""AATS0se"", ""Mpe"", ""AATS1pe"", ""AATS2pe"", ""ETA_dEpsilon_A"", ""AATS1are"", ""AATS2are"", ""AATS2se"", ""ETA_epsilon_1"", ""AATS1se"", ""AATS3are"", ""AATS3pe"", ""AATS3se"", ""AATS3s""]"
final,3,3,AATS1d,AATS1d,algorithmic_medoid,0.9515237171394865,0.9312219965688496,0.9620716836750267,"[""AATS0d"", ""AATS1d"", ""AATS2d""]","[""AATS1d"", ""AATS2d"", ""AATS0d""]"
final,4,5,AATS2dv,AATS2dv,algorithmic_medoid,0.8966814944112331,0.8255679215984065,0.9407967062008106,"[""AATS0dv"", ""AATS1dv"", ""AATS2dv"", ""AATS3dv"", ""AATS4dv""]","[""AATS2dv"", ""AATS3dv"", ""AATS1dv"", ""AATS4dv"", ""AATS0dv""]"
final,5,4,Mi,Mi,algorithmic_medoid,0.8975498847994845,0.8393539014744826,0.996223398976767,"[""AATS0i"", ""AATS1i"", ""AATS2i"", ""Mi""]","[""Mi"", ""AATS0i"", ""AATS2i"", ""AATS1i""]"
final,6,5,Mp,Mp,algorithmic_medoid,0.8957589519088831,0.8050002527613649,0.9690234656590703,"[""AATS0p"", ""AATS1p"", ""AATS2p"", ""AATS3p"", ""Mp""]","[""Mp"", ""AATS2p"", ""AATS1p"", ""AATS0p"", ""AATS3p""]"
final,7,7,AATSC0are,AATSC0are,algorithmic_medoid,0.9048722648144638,0.8502485008152152,0.9936529915907826,"[""AATS0s"", ""AATS2s"", ""AATSC0are"", ""AATSC0dv"", ""AATSC0pe"", ""AATSC0s"", ""AATSC0se""]","[""AATSC0are"", ""AATSC0pe"", ""AATS0s"", ""AATSC0se"", ""AATSC0s"", ""AATS2s"", ""AATSC0dv""]"
final,8,5,AATS0v,AATS0v,algorithmic_medoid,0.9206026833760012,0.8744170342289942,0.9785958943279796,"[""AATS0v"", ""AATS1v"", ""AATS2v"", ""GATS1v"", ""Mv""]","[""AATS0v"", ""AATS2v"", ""Mv"", ""AATS1v"", ""GATS1v""]"
final,9,7,AATS4se,AATS4se,algorithmic_medoid,0.8842311143699513,0.8199238663280723,0.9936039304885315,"[""AATS1s"", ""AATS4are"", ""AATS4pe"", ""AATS4s"", ""AATS4se"", ""FNSA4"", ""FNSA5""]","[""AATS4se"", ""AATS4are"", ""AATS4pe"", ""AATS4s"", ""FNSA5"", ""FNSA4"", ""AATS1s""]"
final,10,4,AATS4Z,AATS4Z,algorithmic_medoid,0.950603828366654,0.920598676870417,0.9989156817283197,"[""AATS3Z"", ""AATS3m"", ""AATS4Z"", ""AATS4m""]","[""AATS4Z"", ""AATS3m"", ""AATS3Z"", ""AATS4m""]"
