feature,n_nonmissing,missing_fraction,n_unique_nonmissing,status
ECFP_0,860,0.0,2,included
ECFP_1,860,0.0,2,included
ECFP_2,860,0.0,2,included
ECFP_3,860,0.0,2,included
ECFP_4,860,0.0,2,included
ECFP_5,860,0.0,2,included
ECFP_6,860,0.0,2,included
ECFP_7,860,0.0,2,included
ECFP_8,860,0.0,2,included
ECFP_9,860,0.0,2,included
ECFP_10,860,0.0,2,included
ECFP_11,860,0.0,2,included
ECFP_12,860,0.0,2,included
ECFP_13,860,0.0,2,included
ECFP_14,860,0.0,2,included
ECFP_15,860,0.0,2,included
ECFP_16,860,0.0,2,included
ECFP_17,860,0.0,2,included
ECFP_18,860,0.0,2,included
ECFP_19,860,0.0,2,included
ECFP_20,860,0.0,2,included
ECFP_21,860,0.0,2,included
ECFP_22,860,0.0,2,included
ECFP_23,860,0.0,2,included
ECFP_24,860,0.0,2,included
ECFP_25,860,0.0,2,included
ECFP_26,860,0.0,2,included
ECFP_27,860,0.0,2,included
ECFP_28,860,0.0,2,included
ECFP_29,860,0.0,2,included
ECFP_30,860,0.0,2,included
ECFP_31,860,0.0,2,included
ECFP_32,860,0.0,2,included
ECFP_33,860,0.0,2,included
ECFP_34,860,0.0,2,included
ECFP_35,860,0.0,2,included
ECFP_36,860,0.0,2,included
ECFP_37,860,0.0,2,included
ECFP_38,860,0.0,2,included
ECFP_39,860,0.0,2,included
ECFP_40,860,0.0,2,included
ECFP_41,860,0.0,2,included
ECFP_42,860,0.0,2,included
ECFP_43,860,0.0,2,included
ECFP_44,860,0.0,2,included
ECFP_45,860,0.0,2,included
ECFP_46,860,0.0,2,included
ECFP_47,860,0.0,2,included
ECFP_48,860,0.0,2,included
ECFP_49,860,0.0,2,included
ECFP_50,860,0.0,2,included
ECFP_51,860,0.0,2,included
ECFP_52,860,0.0,2,included
ECFP_53,860,0.0,2,included
ECFP_54,860,0.0,2,included
ECFP_55,860,0.0,2,included
ECFP_56,860,0.0,2,included
ECFP_57,860,0.0,2,included
ECFP_58,860,0.0,2,included
ECFP_59,860,0.0,2,included
ECFP_60,860,0.0,2,included
ECFP_61,860,0.0,2,included
ECFP_62,860,0.0,2,included
ECFP_63,860,0.0,2,included
ECFP_64,860,0.0,2,included
ECFP_65,860,0.0,2,included
ECFP_66,860,0.0,2,included
ECFP_67,860,0.0,2,included
ECFP_68,860,0.0,2,included
ECFP_69,860,0.0,2,included
ECFP_70,860,0.0,2,included
ECFP_71,860,0.0,2,included
ECFP_72,860,0.0,2,included
ECFP_73,860,0.0,2,included
ECFP_74,860,0.0,2,included
ECFP_75,860,0.0,2,included
ECFP_76,860,0.0,2,included
ECFP_77,860,0.0,2,included
ECFP_78,860,0.0,2,included
ECFP_79,860,0.0,2,included
ECFP_80,860,0.0,2,included
ECFP_81,860,0.0,2,included
ECFP_82,860,0.0,2,included
ECFP_83,860,0.0,2,included
ECFP_84,860,0.0,2,included
ECFP_85,860,0.0,2,included
ECFP_86,860,0.0,2,included
ECFP_87,860,0.0,2,included
ECFP_88,860,0.0,2,included
ECFP_89,860,0.0,2,included
ECFP_90,860,0.0,2,included
ECFP_91,860,0.0,2,included
ECFP_92,860,0.0,2,included
ECFP_93,860,0.0,2,included
ECFP_94,860,0.0,2,included
ECFP_95,860,0.0,2,included
ECFP_96,860,0.0,2,included
ECFP_97,860,0.0,2,included
ECFP_98,860,0.0,2,included
ECFP_99,860,0.0,2,included
ECFP_100,860,0.0,2,included
ECFP_101,860,0.0,2,included
ECFP_102,860,0.0,2,included
ECFP_103,860,0.0,2,included
ECFP_104,860,0.0,2,included
ECFP_105,860,0.0,2,included
ECFP_106,860,0.0,2,included
ECFP_107,860,0.0,2,included
ECFP_108,860,0.0,2,included
ECFP_109,860,0.0,2,included
ECFP_110,860,0.0,2,included
ECFP_111,860,0.0,2,included
ECFP_112,860,0.0,2,included
ECFP_113,860,0.0,2,included
ECFP_114,860,0.0,2,included
ECFP_115,860,0.0,2,included
ECFP_116,860,0.0,2,included
ECFP_117,860,0.0,2,included
ECFP_118,860,0.0,2,included
ECFP_119,860,0.0,2,included
ECFP_120,860,0.0,2,included
ECFP_121,860,0.0,2,included
ECFP_122,860,0.0,2,included
ECFP_123,860,0.0,2,included
ECFP_124,860,0.0,2,included
ECFP_125,860,0.0,2,included
ECFP_126,860,0.0,2,included
ECFP_127,860,0.0,2,included
ECFP_128,860,0.0,2,included
ECFP_129,860,0.0,2,included
ECFP_130,860,0.0,2,included
ECFP_131,860,0.0,2,included
ECFP_132,860,0.0,2,included
ECFP_133,860,0.0,2,included
ECFP_134,860,0.0,2,included
ECFP_135,860,0.0,2,included
ECFP_136,860,0.0,2,included
ECFP_137,860,0.0,2,included
ECFP_138,860,0.0,2,included
ECFP_139,860,0.0,2,included
ECFP_140,860,0.0,2,included
ECFP_141,860,0.0,2,included
ECFP_142,860,0.0,2,included
ECFP_143,860,0.0,2,included
ECFP_144,860,0.0,2,included
ECFP_145,860,0.0,2,included
ECFP_146,860,0.0,2,included
ECFP_147,860,0.0,2,included
ECFP_148,860,0.0,2,included
ECFP_149,860,0.0,2,included
ECFP_150,860,0.0,2,included
ECFP_151,860,0.0,2,included
ECFP_152,860,0.0,2,included
ECFP_153,860,0.0,2,included
ECFP_154,860,0.0,2,included
ECFP_155,860,0.0,2,included
ECFP_156,860,0.0,2,included
ECFP_157,860,0.0,2,included
ECFP_158,860,0.0,2,included
ECFP_159,860,0.0,2,included
ECFP_160,860,0.0,2,included
ECFP_161,860,0.0,2,included
ECFP_162,860,0.0,2,included
ECFP_163,860,0.0,2,included
ECFP_164,860,0.0,2,included
ECFP_165,860,0.0,2,included
