scope,cluster_id,cluster_size,medoid_candidate_rank,feature,mean_distance_to_cluster,mean_abs_correlation_to_cluster,min_abs_correlation_to_cluster,max_abs_correlation_to_cluster,missing_fraction,n_nonmissing,variance_after_imputation,algorithmic_medoid,selected_representative,is_algorithmic_medoid,is_selected_representative,members_json
final,1,9,1,MZ,0.027662242733936804,0.9723377572660632,0.9559796885315653,0.9995117614324893,0.0,860,0.134271054653027,MZ,MZ,True,True,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AATS2Z"", ""AATS2m"", ""AMW"", ""MZ"", ""Mm""]"
final,1,9,2,Mm,0.028191918981267383,0.9718080810187326,0.9554713128917387,0.9999873076923784,0.0,860,0.19537218574924323,MZ,MZ,False,False,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AATS2Z"", ""AATS2m"", ""AMW"", ""MZ"", ""Mm""]"
final,1,9,3,AMW,0.028262240654502335,0.9717377593454977,0.9549144835439363,0.9999873076923784,0.0,860,28.367372368939233,MZ,MZ,False,False,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AATS2Z"", ""AATS2m"", ""AMW"", ""MZ"", ""Mm""]"
final,1,9,4,AATS1m,0.036399521311079264,0.9636004786889207,0.9368160853561345,0.9990577222342865,0.004651162790697674,856,691.1712204922983,MZ,MZ,False,False,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AATS2Z"", ""AATS2m"", ""AMW"", ""MZ"", ""Mm""]"
final,1,9,5,AATS1Z,0.037489553423498356,0.9625104465765016,0.9362215805098956,0.9990577222342865,0.004651162790697674,856,38.45778910600497,MZ,MZ,False,False,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AATS2Z"", ""AATS2m"", ""AMW"", ""MZ"", ""Mm""]"
final,1,9,6,AATS2Z,0.03947211650846849,0.9605278834915315,0.917989561320926,0.9988952411731471,0.005813953488372093,855,40.545051230090706,MZ,MZ,False,False,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AATS2Z"", ""AATS2m"", ""AMW"", ""MZ"", ""Mm""]"
final,1,9,7,AATS2m,0.04155998383521231,0.9584400161647877,0.9161968379615155,0.9988952411731471,0.005813953488372093,855,733.1961808276089,MZ,MZ,False,False,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AATS2Z"", ""AATS2m"", ""AMW"", ""MZ"", ""Mm""]"
final,1,9,8,AATS0Z,0.05079710846702212,0.9492028915329779,0.9190545503502835,0.9994254783750923,0.0,860,11959.62509140824,MZ,MZ,False,False,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AATS2Z"", ""AATS2m"", ""AMW"", ""MZ"", ""Mm""]"
final,1,9,9,AATS0m,0.05337312143864947,0.9466268785613505,0.9161968379615155,0.9994254783750923,0.0,860,407341.00563551765,MZ,MZ,False,False,"[""AATS0Z"", ""AATS0m"", ""AATS1Z"", ""AATS1m"", ""AATS2Z"", ""AATS2m"", ""AMW"", ""MZ"", ""Mm""]"
final,2,18,1,Mare,0.03814748016337499,0.961852519836625,0.9093545335654327,0.9981037144217243,0.004651162790697674,856,0.0017458452501829035,Mare,Mare,True,True,"[""AATS0are"", ""AATS0pe"", ""AATS0se"", ""AATS1are"", ""AATS1pe"", ""AATS1se"", ""AATS2are"", ""AATS2pe"", ""AATS2se"", ""AATS3are"", ""AATS3pe"", ""AATS3s"", ""AATS3se"", ""ETA_dEpsilon_A"", ""ETA_epsilon_1"", ""Mare"", ""Mpe"", ""Mse""]"
