scope,cluster_id,algorithmic_medoid,selected_representative,representative_feature
final,1,MZ,MZ,MZ
final,2,Mare,Mare,Mare
final,3,AATS1d,AATS1d,AATS1d
final,4,AATS2dv,AATS2dv,AATS2dv
final,5,Mi,Mi,Mi
final,6,Mp,Mp,Mp
final,7,AATSC0are,AATSC0are,AATSC0are
final,8,AATS0v,AATS0v,AATS0v
final,9,AATS4se,AATS4se,AATS4se
final,10,AATS4Z,AATS4Z,AATS4Z
final,11,AATS3v,AATS3v,AATS3v
final,12,AATS3i,AATS3i,AATS3i
final,13,AATS4d,AATS4d,AATS4d
final,14,AATS4i,AATS4i,AATS4i
final,15,AATS4p,AATS4p,AATS4p
final,16,AATS5m,AATS5m,AATS5m
final,17,AATS5are,AATS5are,AATS5are
final,18,AATS6m,AATS6m,AATS6m
final,19,AATS6v,AATS6v,AATS6v
final,20,AATS6i,AATS6i,AATS6i
final,21,AATS6p,AATS6p,AATS6p
final,22,AATS7are,AATS7are,AATS7are
final,23,AATS7v,AATS7v,AATS7v
final,24,AATS7i,AATS7i,AATS7i
final,25,AATS8m,AATS8m,AATS8m
final,26,AATS8are,AATS8are,AATS8are
final,27,AATS8v,AATS8v,AATS8v
final,28,AATS8i,AATS8i,AATS8i
final,29,AATSC0m,AATSC0m,AATSC0m
final,30,RPSA,RPSA,RPSA
final,31,AATSC0d,AATSC0d,AATSC0d
final,32,AATSC0i,AATSC0i,AATSC0i
final,33,BCUTp-1h,BCUTp-1h,BCUTp-1h
final,34,ETA_dPsi_A,ETA_dPsi_A,ETA_dPsi_A
final,35,AATSC1Z,AATSC1Z,AATSC1Z
final,36,MATS1pe,MATS1pe,MATS1pe
final,37,AATSC1d,AATSC1d,AATSC1d
final,38,AATSC1dv,AATSC1dv,AATSC1dv
final,39,AATSC1i,AATSC1i,AATSC1i
final,40,AATSC1p,AATSC1p,AATSC1p
final,41,AATSC1s,AATSC1s,AATSC1s
final,42,AATSC1v,AATSC1v,AATSC1v
final,43,AATSC2Z,AATSC2Z,AATSC2Z
final,44,AATSC2are,AATSC2are,AATSC2are
final,45,AATSC2c,AATSC2c,AATSC2c
final,46,AATSC2d,AATSC2d,AATSC2d
final,47,MATS2dv,MATS2dv,MATS2dv
final,48,MATS2i,MATS2i,MATS2i
final,49,AATSC2v,AATSC2v,AATSC2v
final,50,AATSC2s,AATSC2s,AATSC2s
final,51,AATSC3m,AATSC3m,AATSC3m
final,52,AATSC3are,AATSC3are,AATSC3are
final,53,AATSC3c,AATSC3c,AATSC3c
final,54,AATSC3d,AATSC3d,AATSC3d
final,55,MATS3dv,MATS3dv,MATS3dv
final,56,AATSC3i,AATSC3i,AATSC3i
final,57,AATSC3p,AATSC3p,AATSC3p
final,58,AATSC3s,AATSC3s,AATSC3s
final,59,AATSC3v,AATSC3v,AATSC3v
final,60,MATS4Z,MATS4Z,MATS4Z
final,61,AATSC4are,AATSC4are,AATSC4are
final,62,AATSC4c,AATSC4c,AATSC4c
final,63,AATSC4d,AATSC4d,AATSC4d
final,64,MATS4dv,MATS4dv,MATS4dv
final,65,AATSC4i,AATSC4i,AATSC4i
final,66,MATS4p,MATS4p,MATS4p
final,67,AATSC4s,AATSC4s,AATSC4s
final,68,AATSC4v,AATSC4v,AATSC4v
final,69,AATSC5m,AATSC5m,AATSC5m
final,70,AATSC5are,AATSC5are,AATSC5are
final,71,AATSC5c,AATSC5c,AATSC5c
final,72,AATSC5d,AATSC5d,AATSC5d
final,73,AATSC5dv,AATSC5dv,AATSC5dv
final,74,AATSC5i,AATSC5i,AATSC5i
final,75,AATSC5p,AATSC5p,AATSC5p
final,76,AATSC5s,AATSC5s,AATSC5s
