,logbb,bbb_class,all_preds,all_trues_r,all_trues_c,full_set_scores_fold_0,full_set_scores_fold_1,full_set_scores_fold_2,full_set_scores_fold_3,full_set_scores_fold_4
0,-2.69,1.0,-0.11672895452305146,-1.72,1.0,-2.688287308289268,0.13105534362677876,-2.3579546253993295,-2.6754017668224206,-2.494836255904039
1,-2.4,1.0,-0.27331014122882863,-1.52,1.0,-2.3926782268296694,-2.3890795189609477,-1.9368771190649459,-0.08253903379527651,-2.234193006617312
2,-2.15,1.0,-0.34837443556283265,-1.52,1.0,-2.147032176910257,-0.38141977234434904,-2.1204396806604353,-2.149886116119279,-2.1433258429644435
3,-2.15,1.0,-0.458837614260481,-1.52,1.0,-2.148594944850358,-2.146625570983248,-2.1024589176486193,-2.150053043673739,-0.0032616434902901646
4,-2.09,1.0,-0.25180147886451404,-1.4,1.0,-2.0856820114747254,0.09066016613754285,-2.0485524840639586,-2.0900498898130566,-2.0830131834451193
5,-2.0,1.0,0.10024628327782183,-1.35,1.0,-1.9900281680403331,-1.9902777821550985,-0.8715000836051933,-1.9995237907053829,-1.9794678815506341
6,-1.96,1.0,-0.23339828016702943,-1.33,1.0,-1.9564049848060658,-1.9522742960254564,-1.8771906183426763,-0.34343128179243365,-1.9362799777078135
7,-1.9,1.0,-0.13970529295521966,-1.3,1.0,-1.9009395915080602,-1.6718973428450512,-1.8974149438486732,-1.9000427043571229,-1.9051655431138788
8,-1.89,1.0,-0.3845858394105119,-1.3,1.0,-1.8819046230132763,-1.880573684260508,-1.741717416762239,-1.8896271747635687,-0.491998722333676
9,-1.88,1.0,-0.5714366996223489,-1.26,1.0,-1.8787315827669588,-1.8797082579180222,-1.856181438623043,-0.297902803036925,-1.876302761135183
10,-1.82,1.0,-0.5114054663404417,-1.23,1.0,-1.8225371024153545,-1.30798434900003,-1.8171016732665042,-1.8200922236879469,-1.817050281529208
11,-1.82,1.0,-1.0586182955545709,-1.23,1.0,-1.8137797235302118,-1.816357353213087,-1.8033752223137285,-1.8195175753912243,-0.7031789454781613
12,-1.82,1.0,-0.10316480351083518,-1.19,1.0,-1.8192800577674275,-1.8198513074192342,-1.8165040602886464,-1.8200130121462532,-1.2633643945385542
