,logbb,bbb_class,all_preds,all_trues_r,all_trues_c,full_set_scores_fold_0,full_set_scores_fold_1,full_set_scores_fold_2,full_set_scores_fold_3,full_set_scores_fold_4
0,-2.69,1.0,-0.5250069617279478,-1.72,1.0,-2.4463335551430503,-1.2508912194153865,-2.60807570194898,-2.290149247600803,-2.6423288390579183
1,-2.4,1.0,-1.3364736941905608,-1.52,1.0,-1.8565300909811286,-2.2699063255792837,-1.838723196416299,-0.044183815520394194,-2.2442899508317447
2,-2.15,1.0,-0.9985058938734631,-1.52,1.0,-1.7611236637205943,-0.5675018875012587,-1.750203944251006,-1.6444720683141956,-1.951057098612284
3,-2.15,1.0,-0.7164244155301771,-1.52,1.0,-1.8765334565507237,-2.075415791758779,-1.8417790767609903,-2.054517585640681,-1.32894402370005
4,-2.09,1.0,-0.20650007927551794,-1.4,1.0,-1.7402195564989,-0.36631747829660627,-1.8330419998756136,-1.5661631120506714,-2.0017618967492403
5,-2.0,1.0,-0.1594622187138237,-1.35,1.0,-1.761287093133753,-1.8258393229631207,-1.324713864404719,-1.6031169061632178,-1.7775926220664622
6,-1.96,1.0,-0.841069170184703,-1.33,1.0,-1.5257800752297073,-1.788256415375904,-1.5344649367018217,-0.68974464699679,-1.8058265924113774
7,-1.9,1.0,-0.12751006747864002,-1.3,1.0,-1.7972975304836034,-1.719877483926126,-1.6582561526040251,-1.6611238196903189,-1.9429961775968505
8,-1.89,1.0,-0.6694728958346227,-1.3,1.0,-0.8854770786334804,-1.3587649669984871,-0.7605691634911278,-0.87704319288535,0.22482832023934507
9,-1.88,1.0,-0.8493704032038861,-1.26,1.0,-1.7226672941002066,-1.7744297230920565,-1.594612740488405,-0.8804296355569468,-1.702256214387695
10,-1.82,1.0,-1.2104401254583546,-1.23,1.0,-1.8287351789188715,-1.9608406514505894,-1.7601502887189437,-1.8630800666445562,-1.702440998971063
11,-1.82,1.0,-1.1857959545688044,-1.23,1.0,-1.7983962909390792,-1.8933033579587122,-1.747163705253547,-1.6702855145637119,-1.5837785613994935
12,-1.82,1.0,0.08584760511338915,-1.19,1.0,-1.3988581879900215,-1.6167123256045923,-1.4893827456211959,-1.5113666847163851,-1.4059939052761934
13,-1.72,1.0,-0.39902743658797196,-1.17,1.0,-0.5250069617279478,-1.437994276337663,-1.2868855339037453,-1.2912086655106696,-1.6444633203142143
