,logbb,bbb_class,all_preds,all_trues_r,all_trues_c,full_set_scores_fold_0,full_set_scores_fold_1,full_set_scores_fold_2,full_set_scores_fold_3,full_set_scores_fold_4
0,-2.69,1.0,-0.7610409895165661,-1.72,1.0,-2.6273602348100424,-0.8610048627033084,-2.4155682241030756,-2.5150062454302415,-2.5543981837400778
1,-2.4,1.0,-1.498960512785643,-1.52,1.0,-2.2003966855544523,-2.2625696472518886,-1.910420791208861,-0.25731498360888605,-2.1388587197149413
2,-2.15,1.0,-0.7912249597233724,-1.52,1.0,-1.9345972115323289,-0.5482714226350492,-1.7596509982698592,-1.7494506056260462,-1.8455510203979215
3,-2.15,1.0,-0.8344047462579077,-1.52,1.0,-2.098001150898108,-2.145308033484741,-2.039049420894511,-2.0745813761581617,-0.686215620421212
4,-2.09,1.0,-0.6370722903737011,-1.4,1.0,-2.0229730178427574,-0.7083859260141974,-1.8486687712696088,-1.9539537975127288,-1.9862043271295715
5,-2.0,1.0,0.1620191546516475,-1.35,1.0,-1.7862003389557084,-1.7993247896882225,-1.3467859971437128,-1.720228465789586,-1.8818859967709778
6,-1.96,1.0,-1.3872591496473667,-1.33,1.0,-1.7985493008498667,-1.8597708459492273,-1.626692810574347,-0.8272619651267566,-1.878387424058596
7,-1.9,1.0,-0.2715142310670167,-1.3,1.0,-1.9288255505397205,-1.5980993712213667,-1.7836374498858791,-1.7690753834019806,-1.9275413817381586
8,-1.89,1.0,-0.2699995411563623,-1.3,1.0,-1.4352373391388575,-1.5327333810864634,-1.2527424687943454,-1.3237985185501513,-0.1374368587875701
9,-1.88,1.0,-0.9257348515559845,-1.26,1.0,-1.84958599427774,-1.869268872314143,-1.7009417491549448,-1.1070052271583293,-1.8732675075416905
10,-1.82,1.0,-1.4161580206952076,-1.23,1.0,-1.8406047273585742,-1.8761087059800117,-1.8222731499217877,-1.8564623050004592,-1.8127229136252558
11,-1.82,1.0,-1.2813484170722125,-1.23,1.0,-1.8224410533432769,-1.8328197355280642,-1.8179575110102144,-1.8017061036409798,-1.731879179814944
12,-1.82,1.0,-0.3080378400543503,-1.19,1.0,-1.8662559125430658,-1.8017172893352247,-1.8331686809211802,-1.8150482389033096,-1.5983388841153916
13,-1.72,1.0,-0.6940028696054502,-1.17,1.0,-0.7610409895165661,-1.6883241397765607,-1.5699941730300015,-1.6286766514711102,-1.682676208496075
14,-1.7,1.0,-0.8210237743542318,-1.17,1.0,-1.4587357848361842,0.28313851484778396,-1.237701508507281,-1.3176226550522363,-1.3990853613095888
15,-1.7,1.0,-0.8820428574280987,-1.12,1.0,-1.6300954137256027,-0.5926766012794854,-1.511527792686701,-1.6003701428912993,-1.6072201657899008
16,-1.68,1.0,-1.2611207712579304,-1.06,1.0,-1.523371686543588,-1.554689143721037,-0.6349642572356227,-1.5143158074457674,-1.518929995863465
17,-1.67,1.0,-0.3413309181868153,-1.0,0.0,-1.6622581874968514,-1.6495966367714596,-1.595875151083529,-1.6239551251676212,-1.5056516735150611
18,-1.57,1.0,-0.5754293420719327,-1.0,0.0,-1.5304756170497105,-1.4997370320384333,-0.9469872420215031,-1.4669988302884662,-1.386990635253277
19,-1.57,1.0,-0.4271016578202686,-1.0,0.0,-1.51671841877955,-1.421151295171419,-1.4527167454874133,-0.6729100614848802,-1.4609802934509994
20,-1.54,1.0,-0.49027615109590367,-1.0,0.0,-1.5208847726630328,-1.0995056391080267,-1.3571838925310167,-1.4563008033851366,-1.4934594470206068
21,-1.54,1.0,-0.20056266025669145,-0.95,0.0,-1.4741453055312,-1.477070073179623,-1.353541519109975,-1.4340944013309933,-0.7414001090281296
22,-1.52,1.0,-1.1446753653455588,-0.9,0.0,-1.481197225650695,-1.509004459953027,-1.5247290892987946,-1.3220324653600355,-1.4928197656862257
23,-1.52,1.0,-0.27518512168862197,-0.8,0.0,-1.498960512785643,-1.5803631467730435,-1.5936372173334659,-1.6532089693923384,-1.5822685483594507
24,-1.52,1.0,-0.684324058732921,-0.8,0.0,-0.7912249597233724,-1.5010191164072648,-1.4418915663370322,-1.3810667055516095,-1.5092927150005888
25,-1.52,1.0,-0.6641194912583244,-0.8,0.0,-0.8344047462579077,-1.4770668496802273,-1.5318271923817226,-1.5208283663958357,-1.4322157944906206
26,-1.52,1.0,-1.1275167262275954,-0.74,0.0,-1.4281142836530578,-1.328166770409339,-1.3069723224644323,-1.3259467046061533,-0.5854089696322041
27,-1.5,1.0,-0.5992251678943793,-0.73,0.0,-1.4595446871263567,-1.4853985720042628,-0.5669481344037102,-1.4575640950237658,-1.4732131271259343
28,-1.48,1.0,-0.4785765637834267,-0.71,0.0,-1.3343893320607585,-0.712447966787538,-1.0805206556186853,-1.3050311097937397,-1.322483632341199
29,-1.42,1.0,-0.5293998864346521,-0.7,0.0,-1.399798028980368,-0.949525721745309,-1.3742847216220093,-1.3563623137395935,-1.4375914519592303
30,-1.42,1.0,-0.1614379423278586,-0.69,0.0,-1.3095077308842893,-1.3548160123150343,-0.5257244389911726,-1.2224274041044727,-1.3693843320864962
31,-1.42,1.0,-0.7108916145317056,-0.67,0.0,-1.4352770236793195,-1.3531981849458785,-1.4126197541977235,-1.2732342323453505,-1.35880629777982
32,-1.4,1.0,-0.8878344502288931,-0.56,0.0,-1.452005228324741,-1.338362388506859,-1.4933250624334173,-1.5093894174292588,-1.50812677342948
33,-1.4,1.0,-0.8488084320164467,-0.52,0.0,-1.3869456051758993,-1.3889127324410269,-1.3165283069446843,-1.3505888367319745,-1.3688408757100783
34,-1.4,1.0,-0.320843181092031,-0.51,0.0,-0.6370722903737011,-1.36853491329998,-1.2536572058578825,-1.3094034457422747,-1.3779264047453919
35,-1.4,1.0,0.10696610955402772,-0.5,0.0,-1.3554997024494517,-1.3621550822982589,-1.273110731935726,-1.2796227293876807,-0.6225037082189706
36,-1.4,1.0,-0.7580586916623459,-0.44,0.0,-1.3253304216170567,-1.3768119871338442,-1.3373876740704924,-0.14838795134490462,-1.34695688463742
37,-1.4,1.0,-0.4055750772627671,-0.43,0.0,-1.221182122233148,-1.2210622823234334,-1.1512795187658786,-0.36115014329311107,-1.0875651258941135
