,logbb,bbb_class,all_preds,all_trues_r,all_trues_c,full_set_scores_fold_0,full_set_scores_fold_1,full_set_scores_fold_2,full_set_scores_fold_3,full_set_scores_fold_4
0,-2.69,1.0,-0.8158986521369234,-1.72,1.0,-2.585037960312407,-1.1396807915657752,-2.6599994046480027,-2.6677948290149267,-2.5890304684571808
1,-2.4,1.0,-1.0977152285862113,-1.52,1.0,-2.0665479257095987,-2.2960252941822348,-2.2467576042189212,0.08626094917021217,-2.207916977039268
2,-2.15,1.0,-1.014251609128122,-1.52,1.0,-1.8503701752118396,-0.750444610914186,-2.0425541511846625,-2.0758725441264883,-1.8728431122702385
3,-2.15,1.0,-0.8843505332771501,-1.52,1.0,-2.0492968136909817,-2.1226067086388443,-2.1271195130603893,-2.114548716695364,-1.320623033171681
4,-2.09,1.0,-0.5179169122034126,-1.4,1.0,-1.8844357820278421,-0.7460140290190621,-2.0700226743915753,-2.0130143093875668,-1.9739315931175136
5,-2.0,1.0,-0.7621309262123265,-1.35,1.0,-1.6923846625972105,-1.8739493649054892,-1.1131856261619266,-1.8523341898656966,-1.8436969082181283
6,-1.96,1.0,-0.9089075989338165,-1.33,1.0,-1.7724575933669575,-1.9490460388932662,-1.9212141191173944,-1.2163523345514708,-1.908161732372569
7,-1.9,1.0,-0.3754928822076143,-1.3,1.0,-1.811101482016817,-1.2234530416263132,-1.8435883912198552,-1.8217709000218794,-1.8977510615506874
8,-1.89,1.0,-0.7184155067881447,-1.3,1.0,-1.5384121054347406,-1.687795000285916,-1.7071884977936604,-1.7391224620752195,-0.728048929747237
9,-1.88,1.0,-0.7647799025968715,-1.26,1.0,-1.7826857078742038,-1.8427803479412592,-1.878342922567885,-0.7797988194760124,-1.8224934589508166
10,-1.82,1.0,-1.22955450063558,-1.23,1.0,-1.7987659322906042,-1.5604424145373719,-1.8235935687297786,-1.8114251725671455,-1.75290328159721
11,-1.82,1.0,-1.1005977904804383,-1.23,1.0,-1.7389988946475072,-1.8084038200076944,-1.7808921138637686,-1.7810477051526028,-1.5145253295511563
12,-1.82,1.0,-0.2524816204541485,-1.19,1.0,-1.8138164784761466,-1.8095456538230468,-1.8267993777859202,-1.8772578013887904,-1.6450477299196613
13,-1.72,1.0,-0.43936459278084,-1.17,1.0,-0.8158986521369234,-1.7004131348475184,-1.691895183851427,-1.6279952484450018,-1.5069774432644711
14,-1.7,1.0,-0.3089137415115039,-1.17,1.0,-1.5201434370143831,-0.1329612336628462,-1.618558939504245,-1.5942630613469153,-1.5296072552796667
15,-1.7,1.0,-0.945945676490191,-1.12,1.0,-1.580276800088962,-0.8665580063023507,-1.6826508404436287,-1.6655366335957111,-1.6259186235814844
16,-1.68,1.0,-1.2209756905695766,-1.06,1.0,-1.3594703175154472,-1.60510943590383,-0.4013751642838147,-1.5742729431517757,-1.4722848674850864
17,-1.67,1.0,-0.34894899142251695,-1.0,0.0,-1.5357010777495126,-1.6453913985501263,-1.6332135525801694,-1.6068022888043956,-0.797899198047609
18,-1.57,1.0,-0.5711296869096683,-1.0,0.0,-1.3636221697351045,-1.5218441727509435,-0.8085961143671047,-1.515149655490983,-1.3847754975192084
19,-1.57,1.0,-1.0769178781094793,-1.0,0.0,-1.4304701870952181,-1.5504693901086564,-1.5333781427599773,-0.7979558394682542,-1.4826645295270768
20,-1.54,1.0,-0.6523139785295541,-1.0,0.0,-1.5040555350953446,-1.25496111872561,-1.5258890535052445,-1.50309589117482,-1.4544320207732522
21,-1.54,1.0,0.04747045821461309,-0.95,0.0,-1.5315245750847528,-1.5391135504829625,-1.54117899557976,-1.5540185125103498,-1.123517403242228
22,-1.52,1.0,-0.9855496707579122,-0.9,0.0,-1.278299499721813,-1.466166912362563,-1.4254170609350445,-0.4057777804049474,-1.3444529370159608
23,-1.52,1.0,-0.7090017819637559,-0.8,0.0,-1.0977152285862113,-1.5216870011602606,-1.5360498557626552,-1.5325227125680485,-1.5524201813381784
24,-1.52,1.0,-0.41045772979853196,-0.8,0.0,-1.014251609128122,-1.5086872498150492,-1.5112663730591058,-1.4419757811194964,-1.4414189250358296
25,-1.52,1.0,-0.45066843243780397,-0.8,0.0,-0.8843505332771501,-1.5179029711079657,-1.4964245860121035,-1.5276782920656946,-1.4808230347629134
26,-1.52,1.0,-1.218158528566873,-0.74,0.0,-1.2820326160128412,-1.462559362538431,-1.4543657493293258,-1.4003983017393906,-0.6819258840034947
27,-1.5,1.0,-0.3161784089315641,-0.73,0.0,-1.3099986424763403,-1.4583358750978248,-0.637366883626509,-1.452699900763976,-1.4640636241756588
