,logbb,bbb_class,all_preds,all_trues_r,all_trues_c,full_set_scores_fold_0,full_set_scores_fold_1,full_set_scores_fold_2,full_set_scores_fold_3,full_set_scores_fold_4
0,-2.69,1.0,-0.7567335262032305,-1.72,1.0,-2.641651399419806,-1.083841450566868,-2.6551123833144343,-2.6464492469110996,-2.5896056940117687
1,-2.4,1.0,-0.9982408913778833,-1.52,1.0,-2.2770219630895983,-2.3290983658172637,-2.283882053067704,-0.05306375258441563,-2.1770111663199816
2,-2.15,1.0,-0.7954231011817442,-1.52,1.0,-1.9995776912319585,-0.7738856439436107,-2.0679966857533674,-2.0639811114043254,-1.9080548354500724
3,-2.15,1.0,-1.135829470260959,-1.52,1.0,-2.088488299694608,-2.131795224183165,-2.1182076058153627,-2.0908978773676306,-1.4308616785891368
4,-2.09,1.0,-0.5952232734825006,-1.4,1.0,-2.022577565135117,-0.8027440776360609,-2.058227663484686,-2.0430259419776906,-1.9970602330041232
5,-2.0,1.0,-0.7657831664750021,-1.35,1.0,-1.8196072583056497,-1.8849217744166737,-1.1094395897024394,-1.8319773293508763,-1.862318045486786
6,-1.96,1.0,-1.3252331775693371,-1.33,1.0,-1.8710328855578846,-1.945330672498393,-1.9238942354228092,-1.0316161306811555,-1.887901368740786
7,-1.9,1.0,-0.4191281199616764,-1.3,1.0,-1.8739737389881046,-1.2426406136815018,-1.8409885437460918,-1.8079505261114694,-1.8879788356958234
8,-1.89,1.0,-0.9798058959879604,-1.3,1.0,-1.593878745644698,-1.6814270638529656,-1.6915512746436994,-1.6992213794085183,-0.7074652891273093
9,-1.88,1.0,-0.7403004991141791,-1.26,1.0,-1.8367499354666699,-1.8432334595444693,-1.877494706675345,-0.6245289968629666,-1.8496109661936426
10,-1.82,1.0,-1.2977156328482884,-1.23,1.0,-1.8011635995345272,-1.5745684332181635,-1.8158748301403593,-1.8182057029831107,-1.7055304731191663
11,-1.82,1.0,-1.0808768502588835,-1.23,1.0,-1.7782794347583972,-1.8069208908945429,-1.794170854997449,-1.7708042741233732,-1.426295375125417
12,-1.82,1.0,-0.38774951452780326,-1.19,1.0,-1.8388332434587185,-1.8208020858856235,-1.816990832857237,-1.8072122591106243,-1.6989839525610169
13,-1.72,1.0,-0.4997852186645919,-1.17,1.0,-0.7567335262032305,-1.6912643013145388,-1.7085459649787473,-1.6017794754472237,-1.499259102668643
14,-1.7,1.0,-0.3569811540843767,-1.17,1.0,-1.5629788918620011,-0.10392562325788723,-1.6401979827460964,-1.558551269187941,-1.5255829608799072
15,-1.7,1.0,-0.9934396598988638,-1.12,1.0,-1.6438782699545478,-0.8708684062121335,-1.6753782084579398,-1.6393257523892333,-1.6313397769447284
16,-1.68,1.0,-1.1078549191158715,-1.06,1.0,-1.5046590618416877,-1.6026279927036529,-0.36611035425833616,-1.5293167753382604,-1.4778487740253161
17,-1.67,1.0,-0.20867717719622858,-1.0,0.0,-1.6003166957878592,-1.642625022606938,-1.6372730184238455,-1.6137991253911863,-0.8579463017823692
18,-1.57,1.0,-0.49438362186793766,-1.0,0.0,-1.4827490481863388,-1.5093842649533478,-0.8988576891889081,-1.5141032303328754,-1.3890800318443346
19,-1.57,1.0,-1.086277317039502,-1.0,0.0,-1.482505436611736,-1.5466049354786235,-1.5460449096120832,-0.5596526571463553,-1.4812736066656917
20,-1.54,1.0,-0.5223835078579264,-1.0,0.0,-1.5324049803993605,-1.1657885340196799,-1.5156496218587319,-1.4715304637251516,-1.4624391360842681
21,-1.54,1.0,0.052376448505129895,-0.95,0.0,-1.5642493229549268,-1.5332962329605269,-1.5254113648995253,-1.5721141479244722,-1.3088092209572066
22,-1.52,1.0,-1.0101218355489097,-0.9,0.0,-1.2731752280330344,-1.4706669643551529,-1.4247575369121042,-0.35695594582673246,-1.3277911391245434
23,-1.52,1.0,-0.6705146946006493,-0.8,0.0,-0.9982408913778833,-1.5209794782150035,-1.5508991449709828,-1.551833613194547,-1.5469928898409624
24,-1.52,1.0,-0.31153406754297114,-0.8,0.0,-0.7954231011817442,-1.5122923803709132,-1.507482403202962,-1.4446365876036247,-1.4495199411648112
25,-1.52,1.0,-0.5092184792984447,-0.8,0.0,-1.135829470260959,-1.5099941282127087,-1.502649041281258,-1.531466229162548,-1.5121331585708744
26,-1.52,1.0,-1.0556177746939461,-0.74,0.0,-1.3194171170153253,-1.4551562837382501,-1.4542030003097264,-1.3831461007427712,-0.6860953190699136
27,-1.5,1.0,-0.42716508080394416,-0.73,0.0,-1.3699191914476645,-1.4620759139653965,-0.5796919201258154,-1.4559370472193642,-1.4574293355976546
28,-1.48,1.0,-0.4508861234062172,-0.71,0.0,-1.2445627457601232,-0.5480793387810038,-1.3437914668882296,-1.406239193805871,-1.2332257167445162
29,-1.42,1.0,-0.23509739382968065,-0.7,0.0,-1.3012280460240142,-0.28254129222164265,-1.3367598798363818,-1.3465908771074255,-1.3443853458287214
