,logbb,bbb_class,all_preds,all_trues_r,all_trues_c,full_set_scores_fold_0,full_set_scores_fold_1,full_set_scores_fold_2,full_set_scores_fold_3,full_set_scores_fold_4
0,-2.69,1.0,-0.9651886761051033,-1.72,1.0,-2.6743425231657714,-0.4198684197405177,-2.561145585089192,-2.6577257806994385,-2.586978879230994
1,-2.4,1.0,-1.2673870062465726,-1.52,1.0,-2.063643323464692,-2.1708205691899076,-1.595049885460965,-0.20579798323076054,-1.9501262109808324
2,-2.15,1.0,-0.7190848194287542,-1.52,1.0,-1.9799346527924218,-0.6545118666275557,-1.686979568343149,-1.8408250831654565,-1.9496911957639125
3,-2.15,1.0,-1.2242206422678592,-1.52,1.0,-2.166939011520471,-2.147831855773035,-2.038244236997127,-2.1203502013077773,-0.8729754432009793
4,-2.09,1.0,-0.6188177260464186,-1.4,1.0,-2.0622678414112046,-0.4959981120065528,-2.0246391907072487,-2.029903526597583,-2.0170599706873027
5,-2.0,1.0,0.09409212850957333,-1.35,1.0,-1.5720022622506065,-1.6509577523869365,-1.147612940927085,-1.5925728242175112,-1.8101600754505691
6,-1.96,1.0,-2.2995263547681093,-1.33,1.0,-1.7515282081192496,-1.86181759604255,-1.574985811944993,-0.8226009788703618,-1.8876264934211624
7,-1.9,1.0,-0.39430143154028213,-1.3,1.0,-1.8877844132033739,-1.4746084741493295,-1.7379144260224766,-1.7469908965686909,-1.9437730854849904
8,-1.89,1.0,-0.13239782699393912,-1.3,1.0,-1.3439107875536798,-1.397963131472664,-1.1181378584369608,-1.3210294163617164,-0.5147901378882633
9,-1.88,1.0,-0.7188364537982153,-1.26,1.0,-1.880896695604125,-1.6664049756622796,-1.7392259495421334,-1.6846866925440018,-1.9049573055631743
10,-1.82,1.0,-1.2287061162486648,-1.23,1.0,-1.7863370877719718,-1.7843414581702166,-1.8607845404955277,-1.791307695168348,-1.8102967917314885
11,-1.82,1.0,-1.251478968299149,-1.23,1.0,-1.8345573173234155,-1.802818747875828,-1.829586865853723,-1.8105593030761917,-1.68322135539162
12,-1.82,1.0,-0.4308367875248762,-1.19,1.0,-1.8617627218488197,-1.856208414070612,-1.809674960136212,-1.8572509698906245,-1.6595029225762912
13,-1.72,1.0,-0.5290966039215697,-1.17,1.0,-0.9651886761051033,-1.706233153052871,-1.6913046333893011,-1.6901602777125895,-1.6974202620621288
14,-1.7,1.0,-0.6945955842301416,-1.17,1.0,-1.2388509763177598,0.33114443899119766,-1.1485858267177087,-1.3313765438354295,-1.3905651513102957
15,-1.7,1.0,-0.9095709323412924,-1.12,1.0,-1.5052031598773277,-0.26187658339280606,-1.452046282316759,-1.4424829681186317,-1.4383637821986368
16,-1.68,1.0,-1.057323956280847,-1.06,1.0,-1.7432620780727939,-1.6766904854718696,-0.719705753933844,-1.448425872604992,-1.6217772923673388
17,-1.67,1.0,-0.5174169844455109,-1.0,0.0,-1.6313254718827455,-1.6589309782708028,-1.6587602300803832,-1.6241747324071703,-1.126622925895013
18,-1.57,1.0,-0.6557243259276788,-1.0,0.0,-1.5876556803911297,-1.4060346428153943,-1.113770287461149,-1.4261569971487789,-1.4093635642903934
