,logbb,bbb_class,all_preds,all_trues_r,all_trues_c,full_set_scores_fold_0,full_set_scores_fold_1,full_set_scores_fold_2,full_set_scores_fold_3,full_set_scores_fold_4
0,-2.69,1.0,-0.823512125130468,-1.72,1.0,-2.654429855822849,-1.1806850424078092,-2.6646788360789246,-2.6714250508839754,-2.604194539699964
1,-2.4,1.0,-0.8011851023105431,-1.52,1.0,-2.2333101662857797,-2.3707086901858845,-2.2391226747643476,-0.18353389405807466,-2.178891512018988
2,-2.15,1.0,-0.7664712174203058,-1.52,1.0,-1.960456692012265,-0.7116713464960837,-2.0572248502443253,-2.102142715174369,-1.9222216666464935
3,-2.15,1.0,-1.1603069110493542,-1.52,1.0,-2.1047818972096946,-2.1273586133996396,-2.137514360538404,-2.133541410641786,-1.4420089269505005
4,-2.09,1.0,-0.5856680169121297,-1.4,1.0,-1.9941297632314303,-0.958048097873423,-2.079535551935046,-2.070335115055962,-2.007107822500145
5,-2.0,1.0,-0.6573773943859645,-1.35,1.0,-1.8011191630834518,-1.9214236047735798,-1.0200365864409424,-1.9431666092086797,-1.8734743763480115
6,-1.96,1.0,-1.25847417539941,-1.33,1.0,-1.850576978914568,-1.9534016674416388,-1.9022650004640353,-1.03386403608358,-1.890031535982609
7,-1.9,1.0,-0.326579393192956,-1.3,1.0,-1.8466594100868083,-1.256794091420353,-1.834195216365586,-1.8816332975652785,-1.8983380357254132
8,-1.89,1.0,-0.8241430510499672,-1.3,1.0,-1.549453301534075,-1.7464690744080273,-1.7242531844352762,-1.8276427884000375,-0.7102095824488631
9,-1.88,1.0,-0.7044636493159263,-1.26,1.0,-1.835940784836088,-1.855635568901325,-1.8697969783990178,-0.8895362976993115,-1.8502244205796397
10,-1.82,1.0,-1.2081073860264462,-1.23,1.0,-1.8051072807662139,-1.3824912151441118,-1.8156232767454261,-1.8093255332650466,-1.7239181551930858
11,-1.82,1.0,-1.173175010118005,-1.23,1.0,-1.7353019676076185,-1.8167632483723357,-1.79465994890174,-1.8079293738966393,-1.3512757252496161
12,-1.82,1.0,-0.36223292392788664,-1.19,1.0,-1.8178574119640434,-1.8138288718481552,-1.8259101374655848,-1.8165840879660866,-1.6934271903249167
13,-1.72,1.0,-0.49227708150665933,-1.17,1.0,-0.823512125130468,-1.7027085092289886,-1.7061590194468395,-1.6859983315470721,-1.5164928787641136
14,-1.7,1.0,-0.42384989258609057,-1.17,1.0,-1.5461191183395462,-0.04321935665277999,-1.637471010857128,-1.661435464826584,-1.545745055839893
15,-1.7,1.0,-1.0419725993678115,-1.12,1.0,-1.6657498094165213,-0.9908906349502536,-1.6765865181691053,-1.695878643590032,-1.6590217717354385
16,-1.68,1.0,-1.162363422953071,-1.06,1.0,-1.5028478458285826,-1.6250316307148063,-0.3947596681692276,-1.642328209664416,-1.525539528580275
