,logbb,bbb_class,all_preds,all_trues_r,all_trues_c,full_set_scores_fold_0,full_set_scores_fold_1,full_set_scores_fold_2,full_set_scores_fold_3,full_set_scores_fold_4
0,-2.69,1.0,-0.9367776218659257,-1.72,1.0,-2.6788872591045867,-1.1641832920861253,-2.665516286063164,-2.6684954123183973,-2.5955043857201003
1,-2.4,1.0,-1.160933469905675,-1.52,1.0,-2.4005961123987145,-2.3420300347033587,-2.2800481614656034,-0.1819317291612908,-2.1791305967836094
2,-2.15,1.0,-0.8080758587321475,-1.52,1.0,-2.1076990672386433,-0.6761451283994427,-2.083879155176964,-2.0928456225072716,-1.9058604242492048
3,-2.15,1.0,-1.2190871778455459,-1.52,1.0,-2.1470810417266515,-2.1207274421434223,-2.1338898062413785,-2.1363536958099645,-1.3723973086104224
4,-2.09,1.0,-0.6053610532197989,-1.4,1.0,-2.0829952423055365,-0.8756459898153903,-2.074837745628279,-2.056988784866195,-1.9688352894566077
5,-2.0,1.0,-0.5001873638507317,-1.35,1.0,-1.9468344786458387,-1.9019446885581959,-1.1324225643405321,-1.9320061060356786,-1.8735005935603097
6,-1.96,1.0,-1.118779666772726,-1.33,1.0,-1.9548543618346172,-1.9490179572915607,-1.9245092247446032,-1.0550071195819046,-1.8712587868608488
7,-1.9,1.0,-0.6092133523602844,-1.3,1.0,-1.8926384767765634,-1.2898415252475426,-1.8475544216520954,-1.8796313857612406,-1.9022067321920324
8,-1.89,1.0,-0.6635592551056294,-1.3,1.0,-1.8369208212325523,-1.7342706497266234,-1.7326228662045027,-1.8179444111927159,-0.7345275093917101
9,-1.88,1.0,-0.5692946657847945,-1.26,1.0,-1.87592012563697,-1.8462565234189756,-1.8725854110135973,-0.9318111428721088,-1.8419162045612387
10,-1.82,1.0,-1.3014024538181301,-1.23,1.0,-1.809559710744512,-1.4293121747224267,-1.8184854536456687,-1.8169671291777418,-1.7486437351542854
11,-1.82,1.0,-1.0568155858492678,-1.23,1.0,-1.820145445183491,-1.8119503213408041,-1.790081741381863,-1.7987556387857795,-1.4043293750053403
12,-1.82,1.0,-0.42466405972432797,-1.19,1.0,-1.8101118294151455,-1.8165793301738353,-1.8257417707980317,-1.8130758801677942,-1.664558531125828
